source_study,parameter_group,parameter,unique_value_count,observed_values,parameter_role,comparison_interpretation
matched_early_three_model,matched_contract,window_seconds,1,5.0,fixed,matched_across_all_three_models
matched_early_three_model,matched_contract,hop_seconds,1,2.5,fixed,matched_across_all_three_models
matched_early_three_model,matched_contract,overlap_percent,1,50.0,fixed,matched_across_all_three_models
matched_early_three_model,matched_contract,patience,1,20,fixed,matched_across_all_three_models
matched_early_three_model,matched_contract,extra_input,1,0,fixed,matched_across_all_three_models
matched_early_three_model,matched_contract,split_seeds,1,"[42, 10042, 20042, 30042, 40042]",fixed,matched_across_all_three_models
