descriptive_rank,model_display,model,resolved_model,n_runs,seeds,window_balanced_accuracy_n_repeats,window_balanced_accuracy_mean,window_balanced_accuracy_sample_sd,window_balanced_accuracy_repeat_t_ci95_low,window_balanced_accuracy_repeat_t_ci95_high,window_balanced_accuracy_repeat_t_ci95_method,window_macro_f1_n_repeats,window_macro_f1_mean,window_macro_f1_sample_sd,window_macro_f1_repeat_t_ci95_low,window_macro_f1_repeat_t_ci95_high,window_macro_f1_repeat_t_ci95_method,file_balanced_accuracy_n_repeats,file_balanced_accuracy_mean,file_balanced_accuracy_sample_sd,file_balanced_accuracy_repeat_t_ci95_low,file_balanced_accuracy_repeat_t_ci95_high,file_balanced_accuracy_repeat_t_ci95_method,file_macro_f1_n_repeats,file_macro_f1_mean,file_macro_f1_sample_sd,file_macro_f1_repeat_t_ci95_low,file_macro_f1_repeat_t_ci95_high,file_macro_f1_repeat_t_ci95_method,subject_balanced_accuracy_n_repeats,subject_balanced_accuracy_mean,subject_balanced_accuracy_sample_sd,subject_balanced_accuracy_repeat_t_ci95_low,subject_balanced_accuracy_repeat_t_ci95_high,subject_balanced_accuracy_repeat_t_ci95_method,subject_macro_f1_n_repeats,subject_macro_f1_mean,subject_macro_f1_sample_sd,subject_macro_f1_repeat_t_ci95_low,subject_macro_f1_repeat_t_ci95_high,subject_macro_f1_repeat_t_ci95_method,duration_sec_n_repeats,duration_sec_mean,duration_sec_sample_sd,duration_sec_repeat_t_ci95_low,duration_sec_repeat_t_ci95_high,duration_sec_repeat_t_ci95_method,ranking_scope,formal_v2_selection_eligible
1,InceptionTime,inceptiontime,inception_time,5,"42,10042,20042,30042,40042",5,0.6337521979611773,0.024409618957652653,0.6034436528915879,0.6640607430307668,two_sided_student_t_0.95,5,0.6305689987183907,0.02782533641868758,0.5960192802493982,0.6651187171873831,two_sided_student_t_0.95,5,0.6807407407407408,0.04481137115633526,0.6251000744657725,0.736381407015709,two_sided_student_t_0.95,5,0.6786792684049849,0.044799447797233355,0.6230534069357513,0.7343051298742186,two_sided_student_t_0.95,5,0.7268518518518519,0.06027415076986819,0.6520116088186007,0.8016920948851031,two_sided_student_t_0.95,5,0.7234989661181611,0.058721719612551515,0.6505863209626399,0.7964116112736823,two_sided_student_t_0.95,5,396.89738159831614,42.325771260130864,344.342995228404,449.4517679682283,two_sided_student_t_0.95,post_hoc_matched_historical_candidate_generation,False
2,CNN1D,cnn,cnn1d,5,"42,10042,20042,30042,40042",5,0.5845221730923315,0.029564485166778325,0.5478130162353135,0.6212313299493494,two_sided_student_t_0.95,5,0.5849604276754343,0.03299722352517423,0.5439889631835431,0.6259318921673256,two_sided_student_t_0.95,5,0.6507407407407407,0.04109379849014227,0.5997160506060908,0.7017654308753907,two_sided_student_t_0.95,5,0.6544997479782612,0.04373545912001587,0.6001950029440248,0.7088044930124975,two_sided_student_t_0.95,5,0.7027777777777777,0.04528998926442818,0.6465428286291022,0.7590127269264533,two_sided_student_t_0.95,5,0.7075264306743645,0.04836008114678934,0.6474794589641835,0.7675734023845455,two_sided_student_t_0.95,5,173.17075051683932,22.295736358669068,145.4869373668372,200.85456366684144,two_sided_student_t_0.95,post_hoc_matched_historical_candidate_generation,False
3,ShapeFormer-PISD,shapeformer_pisd,shapeformer,5,"42,10042,20042,30042,40042",5,0.5551817398414107,0.021673005785598273,0.5282711488245714,0.5820923308582501,two_sided_student_t_0.95,5,0.5523410256901979,0.019878449437767388,0.5276586706832083,0.5770233806971876,two_sided_student_t_0.95,5,0.5935185185185186,0.024251483062423657,0.5634063250968587,0.6236307119401784,two_sided_student_t_0.95,5,0.5888101254090523,0.024210368721421623,0.5587489821844245,0.6188712686336801,two_sided_student_t_0.95,5,0.6157407407407407,0.045478895149047474,0.5592712339560846,0.6722102475253968,two_sided_student_t_0.95,5,0.605187657200041,0.05101479967986026,0.5418444170619815,0.6685308973381004,two_sided_student_t_0.95,5,4864.100614760816,115.14901052800059,4721.124233959411,5007.076995562221,two_sided_student_t_0.95,post_hoc_matched_historical_candidate_generation,False
