comparison,n_matched_repeat_seeds,difference_direction,formal_v2_inference,shapeformer_minus_comparator_BA_n_repeats,shapeformer_minus_comparator_BA_mean,shapeformer_minus_comparator_BA_sample_sd,shapeformer_minus_comparator_BA_repeat_t_ci95_low,shapeformer_minus_comparator_BA_repeat_t_ci95_high,shapeformer_minus_comparator_BA_repeat_t_ci95_method,shapeformer_minus_comparator_macro_F1_n_repeats,shapeformer_minus_comparator_macro_F1_mean,shapeformer_minus_comparator_macro_F1_sample_sd,shapeformer_minus_comparator_macro_F1_repeat_t_ci95_low,shapeformer_minus_comparator_macro_F1_repeat_t_ci95_high,shapeformer_minus_comparator_macro_F1_repeat_t_ci95_method,shapeformer_runtime_ratio_n_repeats,shapeformer_runtime_ratio_mean,shapeformer_runtime_ratio_sample_sd,shapeformer_runtime_ratio_repeat_t_ci95_low,shapeformer_runtime_ratio_repeat_t_ci95_high,shapeformer_runtime_ratio_repeat_t_ci95_method,participant_cluster_delta_ci95_low,participant_cluster_delta_ci95_high,participant_cluster_ci_applicability
ShapeFormer-PISD_vs_CNN1D,5,shapeformer_minus_comparator,False,5,-0.08703703703703705,0.07069855247711518,-0.17482088437299068,0.0007468102989165726,two_sided_student_t_0.95,5,-0.10233877347432337,0.07518040604521248,-0.1956875770310045,-0.008989969917642227,two_sided_student_t_0.95,5,28.46787029100825,3.781561112545355,23.7724420005533,33.1632985814632,two_sided_student_t_0.95,,,N/A_participant_keyed_oof_predictions_not_archived
ShapeFormer-PISD_vs_InceptionTime,5,shapeformer_minus_comparator,False,5,-0.11111111111111113,0.04743958687944254,-0.17001513822897468,-0.05220708399324757,two_sided_student_t_0.95,5,-0.1183113089181201,0.04974720974352402,-0.1800806282677455,-0.0565419895684947,two_sided_student_t_0.95,5,12.355019876884441,1.2175137593047942,10.843276874637953,13.86676287913093,two_sided_student_t_0.95,,,N/A_participant_keyed_oof_predictions_not_archived
