source_study,classifier_id,case_id,model,metric,point_estimate,point_estimate_source,participant_cluster_ci95_low,participant_cluster_ci95_high,participant_cluster_ci_applicability,participant_cluster_ci_unavailability_reason,formal_v2_inference
matched_early_three_model,matched_early_three_model::InceptionTime,InceptionTime,inception_time,balanced_accuracy,0.7268518518518519,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
matched_early_three_model,matched_early_three_model::InceptionTime,InceptionTime,inception_time,macro_f1,0.7234989661181611,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
matched_early_three_model,matched_early_three_model::InceptionTime,InceptionTime,inception_time,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
matched_early_three_model,matched_early_three_model::CNN1D,CNN1D,cnn1d,balanced_accuracy,0.7027777777777777,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
matched_early_three_model,matched_early_three_model::CNN1D,CNN1D,cnn1d,macro_f1,0.7075264306743645,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
matched_early_three_model,matched_early_three_model::CNN1D,CNN1D,cnn1d,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
matched_early_three_model,matched_early_three_model::ShapeFormer-PISD,ShapeFormer-PISD,shapeformer,balanced_accuracy,0.6157407407407407,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
matched_early_three_model,matched_early_three_model::ShapeFormer-PISD,ShapeFormer-PISD,shapeformer,macro_f1,0.605187657200041,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
matched_early_three_model,matched_early_three_model::ShapeFormer-PISD,ShapeFormer-PISD,shapeformer,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
