rank,config_or_model,model,subject_BA_mean_sd_percent,subject_BA_repeat_t_CI95_percent,subject_macro_F1_mean_sd_percent,subject_macro_F1_repeat_t_CI95_percent,subject_macro_ROC_AUC,ROC_AUC_applicability,scientific_role
1,InceptionTime,inception_time,72.7 ± 6.0,"[65.2, 80.2]",72.3 ± 5.9,"[65.1, 79.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
2,CNN1D,cnn1d,70.3 ± 4.5,"[64.7, 75.9]",70.8 ± 4.8,"[64.7, 76.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
3,ShapeFormer-PISD,shapeformer,61.6 ± 4.5,"[55.9, 67.2]",60.5 ± 5.1,"[54.2, 66.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
