model,class,precision_n_repeats,precision_mean,precision_sample_sd,precision_repeat_t_ci95_low,precision_repeat_t_ci95_high,precision_repeat_t_ci95_method,sensitivity_n_repeats,sensitivity_mean,sensitivity_sample_sd,sensitivity_repeat_t_ci95_low,sensitivity_repeat_t_ci95_high,sensitivity_repeat_t_ci95_method,specificity_n_repeats,specificity_mean,specificity_sample_sd,specificity_repeat_t_ci95_low,specificity_repeat_t_ci95_high,specificity_repeat_t_ci95_method,balanced_accuracy_n_repeats,balanced_accuracy_mean,balanced_accuracy_sample_sd,balanced_accuracy_repeat_t_ci95_low,balanced_accuracy_repeat_t_ci95_high,balanced_accuracy_repeat_t_ci95_method,f1_n_repeats,f1_mean,f1_sample_sd,f1_repeat_t_ci95_low,f1_repeat_t_ci95_high,f1_repeat_t_ci95_method,support_n_repeats,support_mean,support_sample_sd,support_repeat_t_ci95_low,support_repeat_t_ci95_high,support_repeat_t_ci95_method,predicted_support_n_repeats,predicted_support_mean,predicted_support_sample_sd,predicted_support_repeat_t_ci95_low,predicted_support_repeat_t_ci95_high,predicted_support_repeat_t_ci95_method,true_positive_n_repeats,true_positive_mean,true_positive_sample_sd,true_positive_repeat_t_ci95_low,true_positive_repeat_t_ci95_high,true_positive_repeat_t_ci95_method,false_positive_n_repeats,false_positive_mean,false_positive_sample_sd,false_positive_repeat_t_ci95_low,false_positive_repeat_t_ci95_high,false_positive_repeat_t_ci95_method,false_negative_n_repeats,false_negative_mean,false_negative_sample_sd,false_negative_repeat_t_ci95_low,false_negative_repeat_t_ci95_high,false_negative_repeat_t_ci95_method,true_negative_n_repeats,true_negative_mean,true_negative_sample_sd,true_negative_repeat_t_ci95_low,true_negative_repeat_t_ci95_high,true_negative_repeat_t_ci95_method,roc_auc,pr_auc,roc_auc_applicability,pr_auc_applicability
CNN1D,pre_frail,5,0.6778787878787877,0.04812365462086138,0.6181253784740719,0.7376321972835036,two_sided_student_t_0.95,5,0.7333333333333333,0.060858061945018485,0.6577680688157491,0.8088985978509174,two_sided_student_t_0.95,5,0.8400000000000001,0.04183300132670376,0.7880574683158216,0.8919425316841786,two_sided_student_t_0.95,5,0.7866666666666667,0.01977887013213101,0.7621079556984519,0.8112253776348816,two_sided_student_t_0.95,5,0.7018782249742002,0.024926969642280722,0.670927304185062,0.7328291457633384,two_sided_student_t_0.95,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,5,9.8,1.3038404810405297,8.181068215291294,11.418931784708708,two_sided_student_t_0.95,5,6.6,0.5477225575051662,5.919912619341742,7.280087380658257,two_sided_student_t_0.95,5,3.2,0.8366600265340756,2.1611493663164305,4.23885063368357,two_sided_student_t_0.95,5,2.4,0.5477225575051661,1.719912619341743,3.0800873806582567,two_sided_student_t_0.95,5,16.8,0.8366600265340756,15.761149366316431,17.83885063368357,two_sided_student_t_0.95,,,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
CNN1D,robust_non_frail,5,0.641042291042291,0.05350119566236825,0.5746117825274729,0.7074727995571092,two_sided_student_t_0.95,5,0.65,0.06972166887783961,0.5634291138597026,0.7365708861402974,two_sided_student_t_0.95,5,0.7411764705882353,0.052613364176465595,0.6758483504659343,0.8065045907105364,two_sided_student_t_0.95,5,0.6955882352941176,0.040770347816194076,0.6449651622165039,0.7462113083717313,two_sided_student_t_0.95,5,0.6439977703455965,0.049860860404356576,0.5820873350620432,0.7059082056291497,two_sided_student_t_0.95,5,12.0,0.0,12.0,12.0,two_sided_student_t_0.95,5,12.2,1.3038404810405297,10.581068215291292,13.818931784708706,two_sided_student_t_0.95,5,7.8,0.8366600265340756,6.76114936631643,8.83885063368357,two_sided_student_t_0.95,5,4.4,0.8944271909999159,3.289421957920881,5.5105780420791195,two_sided_student_t_0.95,5,4.2,0.8366600265340756,3.1611493663164305,5.23885063368357,two_sided_student_t_0.95,5,12.6,0.8944271909999159,11.48942195792088,13.710578042079119,two_sided_student_t_0.95,,,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
CNN1D,young,5,0.858095238095238,0.16393682760963754,0.6545407812726138,1.0616496949178622,two_sided_student_t_0.95,5,0.725,0.10458250331675945,0.5951436707895538,0.8548563292104462,two_sided_student_t_0.95,5,0.9428571428571428,0.07824607964359515,0.8457018027631061,1.0400124829511794,two_sided_student_t_0.95,5,0.8339285714285716,0.06415744478303695,0.7542665820247285,0.9135905608324146,two_sided_student_t_0.95,5,0.7767032967032967,0.10140951381739637,0.6507867543208883,0.9026198390857052,two_sided_student_t_0.95,5,8.0,0.0,8.0,8.0,two_sided_student_t_0.95,5,7.0,1.8708286933869707,4.677059364614806,9.322940635385194,two_sided_student_t_0.95,5,5.8,0.8366600265340756,4.76114936631643,6.8388506336835695,two_sided_student_t_0.95,5,1.2,1.6431676725154982,-0.8402621419747709,3.240262141974771,two_sided_student_t_0.95,5,2.2,0.8366600265340756,1.1611493663164305,3.23885063368357,two_sided_student_t_0.95,5,19.8,1.6431676725154984,17.75973785802523,21.840262141974772,two_sided_student_t_0.95,,,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
InceptionTime,pre_frail,5,0.6872727272727273,0.07430115178800929,0.5950156620724827,0.7795297924729718,two_sided_student_t_0.95,5,0.8222222222222222,0.06085806194501842,0.7466569577046381,0.8977874867398062,two_sided_student_t_0.95,5,0.8299999999999998,0.04472135954999578,0.7744710978960438,0.8855289021039559,two_sided_student_t_0.95,5,0.8261111111111111,0.05172935265326563,0.7618806362711648,0.8903415859510575,two_sided_student_t_0.95,5,0.7484210526315789,0.06795387061717646,0.6640451779476341,0.8327969273155237,two_sided_student_t_0.95,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,5,10.8,0.4472135954999579,10.244710978960441,11.35528902103956,two_sided_student_t_0.95,5,7.4,0.5477225575051661,6.719912619341743,8.080087380658258,two_sided_student_t_0.95,5,3.4,0.8944271909999159,2.2894219579208803,4.5105780420791195,two_sided_student_t_0.95,5,1.6,0.5477225575051661,0.9199126193417432,2.280087380658257,two_sided_student_t_0.95,5,16.6,0.8944271909999159,15.489421957920882,17.71057804207912,two_sided_student_t_0.95,,,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
InceptionTime,robust_non_frail,5,0.6951282051282052,0.10434511342461135,0.5655666344003767,0.8246897758560336,two_sided_student_t_0.95,5,0.6333333333333333,0.09501461875826149,0.5153571019181438,0.7513095647485228,two_sided_student_t_0.95,5,0.8,0.07892004626469844,0.7020078198165484,0.8979921801834517,two_sided_student_t_0.95,5,0.7166666666666666,0.07184759624188028,0.6274560930556436,0.8058772402776895,two_sided_student_t_0.95,5,0.6606666666666667,0.08894865988591656,0.5502223179978526,0.7711110153354809,two_sided_student_t_0.95,5,12.0,0.0,12.0,12.0,two_sided_student_t_0.95,5,11.0,1.4142135623730951,9.244021933829831,12.755978066170169,two_sided_student_t_0.95,5,7.6,1.1401754250991378,6.184285223017725,9.015714776982275,two_sided_student_t_0.95,5,3.4,1.3416407864998738,1.7341329368813208,5.065867063118679,two_sided_student_t_0.95,5,4.4,1.1401754250991378,2.984285223017726,5.815714776982275,two_sided_student_t_0.95,5,13.6,1.3416407864998738,11.934132936881321,15.265867063118678,two_sided_student_t_0.95,,,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
InceptionTime,young,5,0.8222222222222222,0.1050426133399391,0.6917945909607811,0.9526498534836633,two_sided_student_t_0.95,5,0.725,0.10458250331675945,0.5951436707895538,0.8548563292104462,two_sided_student_t_0.95,5,0.9333333333333332,0.04259177099999598,0.880448664662899,0.9862180020037675,two_sided_student_t_0.95,5,0.8291666666666666,0.037445633303694284,0.7826717719035294,0.8756615614298038,two_sided_student_t_0.95,5,0.7614091790562378,0.040003313144244414,0.711738505316158,0.8110798527963177,two_sided_student_t_0.95,5,8.0,0.0,8.0,8.0,two_sided_student_t_0.95,5,7.2,1.6431676725154984,5.159737858025229,9.240262141974771,two_sided_student_t_0.95,5,5.8,0.8366600265340756,4.76114936631643,6.8388506336835695,two_sided_student_t_0.95,5,1.4,0.8944271909999159,0.28942195792088055,2.5105780420791195,two_sided_student_t_0.95,5,2.2,0.8366600265340756,1.1611493663164305,3.23885063368357,two_sided_student_t_0.95,5,19.6,0.8944271909999159,18.489421957920882,20.71057804207912,two_sided_student_t_0.95,,,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
ShapeFormer-PISD,pre_frail,5,0.6199145299145299,0.11585201313455874,0.47606525608591843,0.7637638037431413,two_sided_student_t_0.95,5,0.7555555555555555,0.049690399499995354,0.6938567754400489,0.8172543356710622,two_sided_student_t_0.95,5,0.78,0.09082951062292477,0.6672202666850477,0.8927797333149523,two_sided_student_t_0.95,5,0.7677777777777779,0.06157024493802501,0.6913282212776446,0.8442273342779112,two_sided_student_t_0.95,5,0.6778157514999619,0.08160473203433485,0.5764900936498627,0.779141409350061,two_sided_student_t_0.95,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,5,11.2,1.6431676725154984,9.159737858025228,13.240262141974771,two_sided_student_t_0.95,5,6.8,0.4472135954999579,6.24471097896044,7.355289021039559,two_sided_student_t_0.95,5,4.4,1.816590212458495,2.144405333700956,6.655594666299045,two_sided_student_t_0.95,5,2.2,0.4472135954999579,1.6447109789604406,2.7552890210395597,two_sided_student_t_0.95,5,15.6,1.816590212458495,13.344405333700955,17.855594666299044,two_sided_student_t_0.95,,,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
ShapeFormer-PISD,robust_non_frail,5,0.656111111111111,0.09599221933489978,0.5369210282552864,0.7753011939669355,two_sided_student_t_0.95,5,0.5166666666666667,0.10865337342004412,0.3817556846076079,0.6515776487257255,two_sided_student_t_0.95,5,0.8117647058823529,0.049215295678475046,0.7506558450774371,0.8728735666872688,two_sided_student_t_0.95,5,0.6642156862745099,0.07428128657201828,0.5719832869977779,0.7564480855512419,two_sided_student_t_0.95,5,0.577056277056277,0.10391413984865644,0.44802983070188895,0.7060827234106651,two_sided_student_t_0.95,5,12.0,0.0,12.0,12.0,two_sided_student_t_0.95,5,9.4,0.8944271909999159,8.289421957920881,10.51057804207912,two_sided_student_t_0.95,5,6.2,1.3038404810405297,4.581068215291294,7.818931784708706,two_sided_student_t_0.95,5,3.2,0.8366600265340756,2.1611493663164305,4.23885063368357,two_sided_student_t_0.95,5,5.8,1.3038404810405297,4.181068215291294,7.418931784708706,two_sided_student_t_0.95,5,13.8,0.8366600265340756,12.761149366316431,14.83885063368357,two_sided_student_t_0.95,,,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
ShapeFormer-PISD,young,5,0.5555555555555556,0.06804138174397716,0.47107102145602014,0.6400400896550911,two_sided_student_t_0.95,5,0.575,0.06846531968814576,0.48998907741771786,0.6600109225822821,two_sided_student_t_0.95,5,0.8190476190476191,0.05216405309573012,0.7542773923182613,0.883817845776977,two_sided_student_t_0.95,5,0.6970238095238095,0.025722964805157022,0.6650845301981835,0.7289630888494355,two_sided_student_t_0.95,5,0.5606909430438842,0.03654600521154235,0.5153130840945449,0.6060688019932235,two_sided_student_t_0.95,5,8.0,0.0,8.0,8.0,two_sided_student_t_0.95,5,8.4,1.51657508881031,6.516923311651558,10.283076688348443,two_sided_student_t_0.95,5,4.6,0.5477225575051661,3.919912619341743,5.280087380658257,two_sided_student_t_0.95,5,3.8,1.0954451150103321,2.439825238683486,5.160174761316513,two_sided_student_t_0.95,5,3.4,0.5477225575051661,2.719912619341743,4.080087380658257,two_sided_student_t_0.95,5,17.2,1.0954451150103324,15.839825238683485,18.560174761316514,two_sided_student_t_0.95,,,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
