source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_count,config_repeat_row_count,repeat_seed_count,within_seed_aggregation,interpretation,subject_balanced_accuracy_n_repeats,subject_balanced_accuracy_mean,subject_balanced_accuracy_sample_sd,subject_balanced_accuracy_repeat_t_ci95_low,subject_balanced_accuracy_repeat_t_ci95_high,subject_balanced_accuracy_repeat_t_ci95_method,subject_macro_f1_n_repeats,subject_macro_f1_mean,subject_macro_f1_sample_sd,subject_macro_f1_repeat_t_ci95_low,subject_macro_f1_repeat_t_ci95_high,subject_macro_f1_repeat_t_ci95_method,subject_macro_roc_auc_ovr_mean,subject_macro_roc_auc_ovr_sample_sd,subject_macro_roc_auc_ovr_repeat_t_ci95_low,subject_macro_roc_auc_ovr_repeat_t_ci95_high,subject_macro_roc_auc_ovr_applicability,formal_v2_p_value,formal_v2_p_value_applicability
20260608_1206_overfitting_sweep_stage1_rank2,training_budget,cnn_epochs,all_archived_config_repeats,5,inception_time,5,37,185,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5534034034034034,0.047022032010721734,0.4950178391333052,0.6117889676735017,two_sided_student_t_0.95,5,0.5584853215352525,0.05014680911263552,0.49621983403529646,0.6207508090352086,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,training_budget,cnn_epochs,all_archived_config_repeats,8,inception_time,8,37,185,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5527777777777778,0.021257355749757983,0.5263832844462935,0.5791722711092622,two_sided_student_t_0.95,5,0.5548935532192245,0.02062860236400738,0.5292797603305754,0.5805073461078736,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10,37,185,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5741241241241242,0.018405433809814475,0.5512707595911551,0.5969774886570932,two_sided_student_t_0.95,5,0.5784559983484268,0.02117478807507894,0.5521640263260068,0.6047479703708467,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,training_budget,cnn_epochs,all_archived_config_repeats,12,inception_time,12,37,185,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5628628628628629,0.044880046908424606,0.5071369243789758,0.61858880134675,two_sided_student_t_0.95,5,0.5616486992777873,0.04098042903931116,0.5107647759087305,0.612532622646844,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,training_budget,cnn_epochs,all_archived_config_repeats,15,inception_time,15,37,185,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5797297297297297,0.03134245769653783,0.5408129283927141,0.6186465310667453,two_sided_student_t_0.95,5,0.5802647654235681,0.030411545817343223,0.5425038438524487,0.6180256869946875,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,training_budget,cnn_epochs,all_archived_config_repeats,50,inception_time,50,1,5,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5851851851851851,0.060769951196705224,0.5097293246116363,0.660641045758734,two_sided_student_t_0.95,5,0.5890603310784799,0.06454918098535019,0.5089119369354315,0.6692087252215283,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_lr,all_archived_config_repeats,0.001,inception_time,0.001,176,880,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5651041666666666,0.026214610517464657,0.532554428560197,0.5976539047731363,two_sided_student_t_0.95,5,0.5675139895027963,0.025185491712251335,0.5362420711666345,0.5987859078389581,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_lr,all_archived_config_repeats,0.0005,inception_time,0.0005,10,50,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5574074074074075,0.04018587855691283,0.5075100487671,0.6073047660477149,two_sided_student_t_0.95,5,0.5555286677343914,0.03576828842354847,0.5111164717215027,0.5999408637472801,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0.0005,inception_time,0.0005,95,475,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5623489278752437,0.02482843275892998,0.5315203567866573,0.5931774989638301,two_sided_student_t_0.95,5,0.5647579746607864,0.023600525923613242,0.5354540512827611,0.5940618980388116,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0,inception_time,0,5,25,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.562037037037037,0.047439586879442594,0.5031330099191733,0.6209410641549007,two_sided_student_t_0.95,5,0.5656144762099571,0.04603130019929586,0.5084590679619816,0.6227698844579326,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,1e-05,inception_time,1e-05,5,25,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5694444444444444,0.030280750788458936,0.5318459263518347,0.6070429625370541,two_sided_student_t_0.95,5,0.5688453662530721,0.03149711838130723,0.5297365283118408,0.6079542041943035,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,5e-05,inception_time,5e-05,5,25,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5590740740740741,0.019852421910002097,0.5344240365112728,0.5837241116368753,two_sided_student_t_0.95,5,0.5609919105179948,0.018586851154576194,0.5379132865993854,0.5840705344366042,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0.0001,inception_time,0.0001,6,30,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.575925925925926,0.03091527409521479,0.5375395430872962,0.6143123087645557,two_sided_student_t_0.95,5,0.5799739614865943,0.02698251356745523,0.5464707458088405,0.6134771771643481,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0.001,inception_time,0.001,5,25,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5716666666666665,0.029525279210921126,0.5350061904335517,0.6083271428997814,two_sided_student_t_0.95,5,0.5747388456494565,0.030716281401224156,0.5365995448748606,0.6128781464240525,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0.002,inception_time,0.002,10,50,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5659259259259259,0.0405450899738508,0.5155825474014629,0.616269304450389,two_sided_student_t_0.95,5,0.5688998789223374,0.04044313668784358,0.5186830921226081,0.6191166657220667,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0.005,inception_time,0.005,25,125,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5645555555555555,0.030519788269162604,0.5266602332289346,0.6024508778821763,two_sided_student_t_0.95,5,0.5661558035059553,0.028821298366714144,0.5303694349425173,0.6019421720693933,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
