source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_014,5,40042,0.4259259259259259,0.4229595728451563,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.5,inception_time,0.5,s1_015,1,42,0.5046296296296297,0.5149447693307342,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.5,inception_time,0.5,s1_015,2,10042,0.5509259259259259,0.5677974893661167,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.5,inception_time,0.5,s1_015,3,20042,0.6296296296296297,0.6433465959328029,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.5,inception_time,0.5,s1_015,4,30042,0.6296296296296297,0.6233778535568817,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.5,inception_time,0.5,s1_015,5,40042,0.4814814814814814,0.4904761904761905,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_016,1,42,0.5462962962962963,0.5525814536340852,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_016,2,10042,0.5601851851851852,0.5643274853801169,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_016,3,20042,0.5879629629629629,0.5977878330819507,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_016,4,30042,0.6296296296296297,0.6296296296296297,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
