source_study,epoch,factor,best_observed_value,best_observed_config_id,baseline_config_id,baseline_subject_ba_mean,candidate_subject_ba_mean,descriptive_delta_ba,candidate_subject_ba_repeat_t_ci95_low,candidate_subject_ba_repeat_t_ci95_high,interpretation
20260608_1206_overfitting_sweep_stage1_rank2,5,combined_regularization,wd0.005_do0.5_ls0.2_mw0.7,s1_034,s1_001,0.5601851851851851,0.5962962962962963,0.036111111111111205,0.5491730746020054,0.6434195179905873,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,5,dropout,0.0,s1_011,s1_001,0.5601851851851851,0.5824074074074074,0.022222222222222254,0.494154274960507,0.6706605398543077,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,5,label_smoothing,0.05,s1_020,s1_001,0.5601851851851851,0.5777777777777777,0.017592592592592604,0.44441882250721687,0.7111367330483386,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,5,max_windows_fraction,0.7,s1_025,s1_001,0.5601851851851851,0.5925925925925926,0.03240740740740744,0.5266731973683012,0.6585119878168839,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,5,weight_decay,0.001,s1_006,s1_001,0.5601851851851851,0.587037037037037,0.026851851851851904,0.5072391861325541,0.6668348879415199,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,8,combined_regularization,wd0.005_do0.5_ls0.2_mw0.9,s1_068,s1_038,0.55,0.587962962962963,0.037962962962962976,0.554691435344275,0.621234490581651,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,8,dropout,0.3,s1_050,s1_038,0.55,0.5777777777777777,0.02777777777777768,0.5228808858320996,0.6326746697234559,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,8,label_smoothing,0.03,s1_056,s1_038,0.55,0.5777777777777777,0.02777777777777768,0.5111850820596171,0.6443704734959383,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,8,max_windows_fraction,0.3,s1_064,s1_038,0.55,0.586111111111111,0.03611111111111098,0.569058469138963,0.6031637530832591,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,8,weight_decay,0.002,s1_044,s1_038,0.55,0.5555555555555556,0.005555555555555536,0.513509309364174,0.5976018017469371,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,10,combined_regularization,wd0.005_do0.5_ls0.2_mw0.9,s1_105,s1_075,0.6046296296296296,0.6157407407407407,0.011111111111111072,0.56886359499311,0.6626178864883714,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,10,dropout,0.0,s1_085,s1_075,0.6046296296296296,0.6231481481481482,0.0185185185185186,0.5362914544091553,0.7100048418871412,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,10,label_smoothing,0.2,s1_096,s1_075,0.6046296296296296,0.5907407407407408,-0.01388888888888884,0.5318928394356394,0.6495886420458422,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,10,max_windows_fraction,0.7,s1_099,s1_075,0.6046296296296296,0.6027777777777776,-0.0018518518518519933,0.4980045914026728,0.7075509641528824,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,10,weight_decay,0.0001,s1_079,s1_075,0.6046296296296296,0.6064814814814816,0.0018518518518519933,0.5562031270155966,0.6567598359473666,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,12,combined_regularization,wd0.01_do0.6_ls0.3_mw0.9,s1_148,s1_112,0.5962962962962963,0.6009259259259259,0.004629629629629539,0.5014927909063109,0.7003590609455408,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,12,dropout,0.1,s1_123,s1_112,0.5962962962962963,0.5907407407407408,-0.005555555555555536,0.5405281526267017,0.6409533288547798,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,12,label_smoothing,0.15,s1_132,s1_112,0.5962962962962963,0.5648148148148148,-0.031481481481481555,0.5155321699234191,0.6140974597062104,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,12,max_windows_fraction,0.3,s1_138,s1_112,0.5962962962962963,0.587962962962963,-0.008333333333333304,0.5212958758281399,0.6546300500977862,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,12,weight_decay,0.005,s1_119,s1_112,0.5962962962962963,0.5962962962962963,0.0,0.4831818660845342,0.7094107265080585,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,15,combined_regularization,wd0.01_do0.6_ls0.3_mw0.7,s1_183,s1_149,0.5907407407407408,0.6027777777777776,0.012037037037036846,0.5459582500375312,0.6595973055180241,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,15,dropout,0.5,s1_163,s1_149,0.5907407407407408,0.612037037037037,0.021296296296296258,0.5740363843173699,0.6500376897567042,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,15,label_smoothing,0.3,s1_171,s1_149,0.5907407407407408,0.587962962962963,-0.002777777777777768,0.5094593298898659,0.6664665960360602,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,15,max_windows_fraction,0.7,s1_173,s1_149,0.5907407407407408,0.5861111111111111,-0.00462962962962965,0.5049582217130941,0.6672640005091282,best_observed_post_hoc_factor_signal_not_confirmatory
20260608_1206_overfitting_sweep_stage1_rank2,15,weight_decay,0.02,s1_158,s1_149,0.5907407407407408,0.6,0.00925925925925919,0.5125744940673775,0.6874255059326224,best_observed_post_hoc_factor_signal_not_confirmatory
