rank,config_or_model,model,subject_BA_mean_sd_percent,subject_BA_repeat_t_CI95_percent,subject_macro_F1_mean_sd_percent,subject_macro_F1_repeat_t_CI95_percent,subject_macro_ROC_AUC,ROC_AUC_applicability,scientific_role
133,s1_107,inception_time,55.1 ± 2.8,"[51.6, 58.6]",55.2 ± 3.5,"[50.9, 59.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
134,s1_038,inception_time,55.0 ± 4.0,"[50.0, 60.0]",55.3 ± 4.1,"[50.3, 60.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
135,s1_097,inception_time,55.0 ± 5.5,"[48.1, 61.9]",54.2 ± 5.5,"[47.5, 61.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
136,s1_100,inception_time,55.0 ± 8.1,"[44.9, 65.1]",56.4 ± 8.3,"[46.0, 66.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
137,s1_136,inception_time,54.8 ± 6.5,"[46.7, 62.9]",55.4 ± 6.7,"[47.0, 63.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
138,s1_093,inception_time,54.6 ± 2.4,"[51.7, 57.6]",55.3 ± 1.4,"[53.6, 57.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
139,s1_060,inception_time,54.6 ± 5.0,"[48.4, 60.8]",55.2 ± 5.1,"[48.8, 61.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
140,s1_164,inception_time,54.6 ± 5.8,"[47.4, 61.8]",54.2 ± 4.3,"[48.9, 59.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
141,s1_135,inception_time,54.5 ± 3.7,"[49.9, 59.2]",54.7 ± 2.8,"[51.2, 58.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
142,s1_021,inception_time,54.4 ± 3.9,"[49.6, 59.3]",55.3 ± 3.6,"[50.8, 59.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
143,s1_051,inception_time,54.4 ± 4.6,"[48.7, 60.1]",55.2 ± 5.2,"[48.8, 61.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
144,s1_067,inception_time,54.4 ± 4.8,"[48.4, 60.3]",55.1 ± 5.2,"[48.6, 61.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
145,s1_059,inception_time,54.4 ± 3.1,"[50.5, 58.2]",54.5 ± 2.9,"[50.9, 58.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
146,s1_047,inception_time,54.3 ± 5.6,"[47.4, 61.2]",55.3 ± 6.2,"[47.6, 63.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
147,s1_014,inception_time,54.3 ± 8.4,"[43.9, 64.6]",54.5 ± 8.5,"[43.9, 65.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
148,s1_002,inception_time,54.3 ± 6.6,"[46.0, 62.5]",54.9 ± 6.8,"[46.4, 63.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
149,s1_040,inception_time,54.3 ± 3.3,"[50.2, 58.3]",54.6 ± 3.5,"[50.3, 58.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
150,s1_063,inception_time,54.3 ± 4.3,"[48.9, 59.6]",54.3 ± 4.7,"[48.4, 60.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
151,s1_087,inception_time,54.2 ± 6.5,"[46.1, 62.2]",54.9 ± 6.8,"[46.4, 63.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
152,s1_049,inception_time,54.2 ± 4.5,"[48.5, 59.8]",54.6 ± 4.1,"[49.6, 59.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
153,s1_008,inception_time,54.1 ± 7.8,"[44.4, 63.8]",55.2 ± 8.4,"[44.7, 65.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
154,s1_146,inception_time,54.1 ± 5.4,"[47.4, 60.8]",54.9 ± 5.1,"[48.5, 61.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
155,s1_074,inception_time,54.0 ± 2.4,"[51.0, 57.0]",53.7 ± 2.4,"[50.7, 56.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
156,s1_019,inception_time,53.9 ± 8.6,"[43.2, 64.6]",54.2 ± 9.8,"[41.9, 66.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
157,s1_094,inception_time,53.8 ± 2.3,"[50.9, 56.7]",54.5 ± 2.3,"[51.7, 57.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
158,s1_039,inception_time,53.8 ± 3.3,"[49.7, 57.9]",54.0 ± 3.7,"[49.3, 58.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
159,s1_101,inception_time,53.7 ± 5.2,"[47.3, 60.2]",53.7 ± 5.9,"[46.5, 61.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
160,s1_045,inception_time,53.7 ± 3.9,"[48.8, 58.6]",53.7 ± 4.2,"[48.5, 58.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
161,s1_142,inception_time,53.7 ± 4.8,"[47.7, 59.7]",53.4 ± 3.5,"[49.0, 57.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
162,s1_066,inception_time,53.6 ± 5.0,"[47.5, 59.8]",53.6 ± 4.6,"[47.9, 59.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
163,s1_128,inception_time,53.6 ± 2.2,"[50.8, 56.4]",53.1 ± 1.4,"[51.4, 54.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
164,s1_026,inception_time,53.6 ± 4.0,"[48.7, 58.5]",52.8 ± 5.0,"[46.7, 59.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
165,s1_041,inception_time,53.5 ± 3.6,"[49.1, 57.9]",53.6 ± 3.5,"[49.3, 58.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
166,s1_043,inception_time,53.2 ± 3.7,"[48.7, 57.8]",53.7 ± 4.1,"[48.6, 58.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
167,s1_134,inception_time,53.1 ± 4.0,"[48.2, 58.1]",52.3 ± 4.5,"[46.8, 57.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
168,s1_028,inception_time,53.1 ± 4.7,"[47.2, 58.9]",53.6 ± 5.0,"[47.4, 59.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
169,s1_012,inception_time,53.0 ± 5.9,"[45.7, 60.3]",53.7 ± 6.6,"[45.5, 62.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
170,s1_017,inception_time,52.9 ± 4.4,"[47.5, 58.3]",53.5 ± 5.1,"[47.1, 59.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
171,s1_030,inception_time,52.9 ± 10.5,"[39.8, 65.9]",53.2 ± 10.6,"[40.1, 66.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
172,s1_018,inception_time,52.9 ± 4.8,"[46.9, 58.8]",53.2 ± 4.5,"[47.6, 58.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
173,s1_032,inception_time,52.5 ± 6.3,"[44.7, 60.3]",53.5 ± 7.6,"[44.0, 62.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
174,s1_110,inception_time,52.5 ± 4.3,"[47.1, 57.9]",53.4 ± 4.4,"[47.9, 58.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
175,s1_054,inception_time,52.5 ± 8.3,"[42.2, 62.8]",52.2 ± 8.2,"[42.0, 62.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
176,s1_130,inception_time,52.4 ± 5.7,"[45.3, 59.5]",51.9 ± 6.3,"[44.0, 59.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
177,s1_046,inception_time,52.2 ± 5.4,"[45.5, 58.9]",53.0 ± 5.5,"[46.1, 59.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
178,s1_036,inception_time,52.2 ± 7.9,"[42.4, 62.0]",52.8 ± 8.7,"[42.0, 63.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
179,s1_141,inception_time,52.2 ± 4.2,"[47.0, 57.4]",51.6 ± 4.0,"[46.6, 56.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
180,s1_145,inception_time,52.1 ± 5.6,"[45.1, 59.1]",52.6 ± 5.4,"[46.0, 59.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
181,s1_089,inception_time,51.7 ± 7.6,"[42.2, 61.1]",52.4 ± 7.6,"[42.9, 61.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
182,s1_037,inception_time,51.0 ± 7.8,"[41.3, 60.7]",50.9 ± 7.7,"[41.4, 60.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
183,s1_176,inception_time,50.6 ± 3.4,"[46.4, 54.9]",50.0 ± 3.7,"[45.3, 54.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
184,s1_175,inception_time,50.5 ± 3.3,"[46.4, 54.5]",50.9 ± 3.7,"[46.3, 55.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
185,s1_129,inception_time,50.5 ± 4.7,"[44.7, 56.3]",49.7 ± 5.5,"[42.9, 56.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
186,s1_065,inception_time,49.3 ± 4.6,"[43.6, 54.9]",49.9 ± 5.0,"[43.6, 56.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
