source_study,comparison_family,comparison_id,comparison_role,factor,epoch,reference_case_id,candidate_case_id,repeat,split_seed,comparison_contract_status,difference_direction,reference_balanced_accuracy,candidate_balanced_accuracy,balanced_accuracy_delta,reference_macro_f1,candidate_macro_f1,macro_f1_delta,reference_macro_roc_auc_ovr,candidate_macro_roc_auc_ovr,macro_roc_auc_ovr_delta,macro_roc_auc_ovr_applicability,macro_roc_auc_ovr_unavailability_reason,automatic_selection
20260608_1206_overfitting_sweep_stage1_rank2,20260608_1206_overfitting_sweep_stage1_rank2_factor_signals,20260608_1206_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=5:s1_034_vs_s1_001:signal=1,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,5,s1_001,s1_034,1,42,matched_aggregate_repeat_seed,candidate_minus_reference,0.5416666666666666,0.5787037037037037,0.03703703703703709,0.565318302387268,0.6037491919844861,0.038430889597218076,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260608_1206_overfitting_sweep_stage1_rank2,20260608_1206_overfitting_sweep_stage1_rank2_factor_signals,20260608_1206_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=5:s1_034_vs_s1_001:signal=1,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,5,s1_001,s1_034,2,10042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5324074074074074,0.5787037037037037,0.04629629629629628,0.5365497076023392,0.5952380952380952,0.05868838763575601,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260608_1206_overfitting_sweep_stage1_rank2,20260608_1206_overfitting_sweep_stage1_rank2_factor_signals,20260608_1206_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=5:s1_034_vs_s1_001:signal=1,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,5,s1_001,s1_034,3,20042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5555555555555556,0.5601851851851852,0.00462962962962965,0.5706093189964158,0.5643274853801169,-0.00628183361629886,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260608_1206_overfitting_sweep_stage1_rank2,20260608_1206_overfitting_sweep_stage1_rank2_factor_signals,20260608_1206_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=5:s1_034_vs_s1_001:signal=1,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,5,s1_001,s1_034,4,30042,matched_aggregate_repeat_seed,candidate_minus_reference,0.6388888888888888,0.6574074074074074,0.0185185185185186,0.6309523809523809,0.6574074074074074,0.02645502645502651,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260608_1206_overfitting_sweep_stage1_rank2,20260608_1206_overfitting_sweep_stage1_rank2_factor_signals,20260608_1206_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=5:s1_034_vs_s1_001:signal=1,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,5,s1_001,s1_034,5,40042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5324074074074074,0.6064814814814815,0.07407407407407407,0.5324675324675324,0.6108239586500456,0.07835642618251315,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260608_1206_overfitting_sweep_stage1_rank2,20260608_1206_overfitting_sweep_stage1_rank2_factor_signals,20260608_1206_overfitting_sweep_stage1_rank2:factor=dropout:epoch=5:s1_011_vs_s1_001:signal=2,exploratory_post_hoc_factor_signal_not_ablation,dropout,5,s1_001,s1_011,1,42,matched_aggregate_repeat_seed,candidate_minus_reference,0.5416666666666666,0.5648148148148148,0.02314814814814814,0.565318302387268,0.5809523809523809,0.015634078565112897,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260608_1206_overfitting_sweep_stage1_rank2,20260608_1206_overfitting_sweep_stage1_rank2_factor_signals,20260608_1206_overfitting_sweep_stage1_rank2:factor=dropout:epoch=5:s1_011_vs_s1_001:signal=2,exploratory_post_hoc_factor_signal_not_ablation,dropout,5,s1_001,s1_011,2,10042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5324074074074074,0.4861111111111111,-0.046296296296296335,0.5365497076023392,0.4898148148148148,-0.04673489278752441,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260608_1206_overfitting_sweep_stage1_rank2,20260608_1206_overfitting_sweep_stage1_rank2_factor_signals,20260608_1206_overfitting_sweep_stage1_rank2:factor=dropout:epoch=5:s1_011_vs_s1_001:signal=2,exploratory_post_hoc_factor_signal_not_ablation,dropout,5,s1_001,s1_011,3,20042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5555555555555556,0.6712962962962963,0.1157407407407407,0.5706093189964158,0.6902025177887247,0.1195931987923089,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260608_1206_overfitting_sweep_stage1_rank2,20260608_1206_overfitting_sweep_stage1_rank2_factor_signals,20260608_1206_overfitting_sweep_stage1_rank2:factor=dropout:epoch=5:s1_011_vs_s1_001:signal=2,exploratory_post_hoc_factor_signal_not_ablation,dropout,5,s1_001,s1_011,4,30042,matched_aggregate_repeat_seed,candidate_minus_reference,0.6388888888888888,0.6296296296296297,-0.00925925925925919,0.6309523809523809,0.6233778535568817,-0.007574527395499242,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260608_1206_overfitting_sweep_stage1_rank2,20260608_1206_overfitting_sweep_stage1_rank2_factor_signals,20260608_1206_overfitting_sweep_stage1_rank2:factor=dropout:epoch=5:s1_011_vs_s1_001:signal=2,exploratory_post_hoc_factor_signal_not_ablation,dropout,5,s1_001,s1_011,5,40042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5324074074074074,0.5601851851851852,0.02777777777777779,0.5324675324675324,0.5628019323671497,0.03033439989961728,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
