parameter_path,case_values
aggregation.balance_line,"{""r1_wd001_do03_ls01"": ""line_b_equal_role_families"", ""r2_wd001_do05_ls02"": ""line_b_equal_role_families"", ""r3_wd001_do07_ls03"": ""line_b_equal_role_families"", ""r4_wd005_do03_ls02"": ""line_b_equal_role_families"", ""r5_wd005_do05_ls02"": ""line_b_equal_role_families"", ""r6_wd005_do07_ls03"": ""line_b_equal_role_families"", ""r7_wd01_do03_ls03"": ""line_b_equal_role_families"", ""r8_wd01_do05_ls02"": ""line_b_equal_role_families"", ""r9_wd01_do07_ls01"": ""line_b_equal_role_families""}"
model.dropout,"{""r1_wd001_do03_ls01"": 0.3, ""r2_wd001_do05_ls02"": 0.5, ""r3_wd001_do07_ls03"": 0.7, ""r4_wd005_do03_ls02"": 0.3, ""r5_wd005_do05_ls02"": 0.5, ""r6_wd005_do07_ls03"": 0.7, ""r7_wd01_do03_ls03"": 0.3, ""r8_wd01_do05_ls02"": 0.5, ""r9_wd01_do07_ls01"": 0.7}"
signal.dl_resampling.enabled,"{""r1_wd001_do03_ls01"": true, ""r2_wd001_do05_ls02"": true, ""r3_wd001_do07_ls03"": true, ""r4_wd005_do03_ls02"": true, ""r5_wd005_do05_ls02"": true, ""r6_wd005_do07_ls03"": true, ""r7_wd01_do03_ls03"": true, ""r8_wd01_do05_ls02"": true, ""r9_wd01_do07_ls01"": true}"
signal.dl_resampling.target_fs_hz,"{""r1_wd001_do03_ls01"": 64.0, ""r2_wd001_do05_ls02"": 64.0, ""r3_wd001_do07_ls03"": 64.0, ""r4_wd005_do03_ls02"": 64.0, ""r5_wd005_do05_ls02"": 64.0, ""r6_wd005_do07_ls03"": 64.0, ""r7_wd01_do03_ls03"": 64.0, ""r8_wd01_do05_ls02"": 64.0, ""r9_wd01_do07_ls01"": 64.0}"
signal.normalization.raw_imu,"{""r1_wd001_do03_ls01"": ""none"", ""r2_wd001_do05_ls02"": ""none"", ""r3_wd001_do07_ls03"": ""none"", ""r4_wd005_do03_ls02"": ""none"", ""r5_wd005_do05_ls02"": ""none"", ""r6_wd005_do07_ls03"": ""none"", ""r7_wd01_do03_ls03"": ""none"", ""r8_wd01_do05_ls02"": ""none"", ""r9_wd01_do07_ls01"": ""none""}"
signal.normalization.raw_ppg,"{""r1_wd001_do03_ls01"": ""per_window_median_iqr_over_1p349_sd_finite"", ""r2_wd001_do05_ls02"": ""per_window_median_iqr_over_1p349_sd_finite"", ""r3_wd001_do07_ls03"": ""per_window_median_iqr_over_1p349_sd_finite"", ""r4_wd005_do03_ls02"": ""per_window_median_iqr_over_1p349_sd_finite"", ""r5_wd005_do05_ls02"": ""per_window_median_iqr_over_1p349_sd_finite"", ""r6_wd005_do07_ls03"": ""per_window_median_iqr_over_1p349_sd_finite"", ""r7_wd01_do03_ls03"": ""per_window_median_iqr_over_1p349_sd_finite"", ""r8_wd01_do05_ls02"": ""per_window_median_iqr_over_1p349_sd_finite"", ""r9_wd01_do07_ls01"": ""per_window_median_iqr_over_1p349_sd_finite""}"
study.catalog_entry,"{""r1_wd001_do03_ls01"": ""inception_full"", ""r2_wd001_do05_ls02"": ""inception_full"", ""r3_wd001_do07_ls03"": ""inception_full"", ""r4_wd005_do03_ls02"": ""inception_full"", ""r5_wd005_do05_ls02"": ""inception_full"", ""r6_wd005_do07_ls03"": ""inception_full"", ""r7_wd01_do03_ls03"": ""inception_full"", ""r8_wd01_do05_ls02"": ""inception_full"", ""r9_wd01_do07_ls01"": ""inception_full""}"
study.screen_profile_id,"{""r1_wd001_do03_ls01"": ""v2_core_b0_b2_b7_selected"", ""r2_wd001_do05_ls02"": ""v2_core_b0_b2_b7_selected"", ""r3_wd001_do07_ls03"": ""v2_core_b0_b2_b7_selected"", ""r4_wd005_do03_ls02"": ""v2_core_b0_b2_b7_selected"", ""r5_wd005_do05_ls02"": ""v2_core_b0_b2_b7_selected"", ""r6_wd005_do07_ls03"": ""v2_core_b0_b2_b7_selected"", ""r7_wd01_do03_ls03"": ""v2_core_b0_b2_b7_selected"", ""r8_wd01_do05_ls02"": ""v2_core_b0_b2_b7_selected"", ""r9_wd01_do07_ls01"": ""v2_core_b0_b2_b7_selected""}"
training.batch_size,"{""r1_wd001_do03_ls01"": 16, ""r2_wd001_do05_ls02"": 16, ""r3_wd001_do07_ls03"": 16, ""r4_wd005_do03_ls02"": 16, ""r5_wd005_do05_ls02"": 16, ""r6_wd005_do07_ls03"": 16, ""r7_wd01_do03_ls03"": 16, ""r8_wd01_do05_ls02"": 16, ""r9_wd01_do07_ls01"": 16}"
training.class_count_basis,"{""r1_wd001_do03_ls01"": ""row"", ""r2_wd001_do05_ls02"": ""row"", ""r3_wd001_do07_ls03"": ""row"", ""r4_wd005_do03_ls02"": ""row"", ""r5_wd005_do05_ls02"": ""row"", ""r6_wd005_do07_ls03"": ""row"", ""r7_wd01_do03_ls03"": ""row"", ""r8_wd01_do05_ls02"": ""row"", ""r9_wd01_do07_ls01"": ""row""}"
training.class_weighting,"{""r1_wd001_do03_ls01"": ""outer_train_window_inverse_frequency"", ""r2_wd001_do05_ls02"": ""outer_train_window_inverse_frequency"", ""r3_wd001_do07_ls03"": ""outer_train_window_inverse_frequency"", ""r4_wd005_do03_ls02"": ""outer_train_window_inverse_frequency"", ""r5_wd005_do05_ls02"": ""outer_train_window_inverse_frequency"", ""r6_wd005_do07_ls03"": ""outer_train_window_inverse_frequency"", ""r7_wd01_do03_ls03"": ""outer_train_window_inverse_frequency"", ""r8_wd01_do05_ls02"": ""outer_train_window_inverse_frequency"", ""r9_wd01_do07_ls01"": ""outer_train_window_inverse_frequency""}"
training.fixed_epochs,"{""r1_wd001_do03_ls01"": 10, ""r2_wd001_do05_ls02"": 10, ""r3_wd001_do07_ls03"": 10, ""r4_wd005_do03_ls02"": 10, ""r5_wd005_do05_ls02"": 10, ""r6_wd005_do07_ls03"": 10, ""r7_wd01_do03_ls03"": 10, ""r8_wd01_do05_ls02"": 10, ""r9_wd01_do07_ls01"": 10}"
training.label_smoothing,"{""r1_wd001_do03_ls01"": 0.1, ""r2_wd001_do05_ls02"": 0.2, ""r3_wd001_do07_ls03"": 0.3, ""r4_wd005_do03_ls02"": 0.2, ""r5_wd005_do05_ls02"": 0.2, ""r6_wd005_do07_ls03"": 0.3, ""r7_wd01_do03_ls03"": 0.3, ""r8_wd01_do05_ls02"": 0.2, ""r9_wd01_do07_ls01"": 0.1}"
training.learning_rate,"{""r1_wd001_do03_ls01"": 0.0003, ""r2_wd001_do05_ls02"": 0.0003, ""r3_wd001_do07_ls03"": 0.0003, ""r4_wd005_do03_ls02"": 0.0003, ""r5_wd005_do05_ls02"": 0.0003, ""r6_wd005_do07_ls03"": 0.0003, ""r7_wd01_do03_ls03"": 0.0003, ""r8_wd01_do05_ls02"": 0.0003, ""r9_wd01_do07_ls01"": 0.0003}"
training.optimizer,"{""r1_wd001_do03_ls01"": ""adamw"", ""r2_wd001_do05_ls02"": ""adamw"", ""r3_wd001_do07_ls03"": ""adamw"", ""r4_wd005_do03_ls02"": ""adamw"", ""r5_wd005_do05_ls02"": ""adamw"", ""r6_wd005_do07_ls03"": ""adamw"", ""r7_wd01_do03_ls03"": ""adamw"", ""r8_wd01_do05_ls02"": ""adamw"", ""r9_wd01_do07_ls01"": ""adamw""}"
