denoiser,activity,channel,metric,mean_sd,participant_bootstrap_ci95,holm_p_vs_reference
spectral_mask,static,IR,Positive predictive value,99.6 ± 0.5,"[99.4, 99.8]",0.0039
ssa_decomposition,static,IR,Positive predictive value,99.5 ± 0.6,"[99.2, 99.7]",0.0015
identity,static,IR,Positive predictive value,98.8 ± 1.7,"[98.0, 99.4]",Reference
pca_bss,static,IR,Positive predictive value,98.5 ± 1.9,"[97.7, 99.2]",0.0774
fastica_bss,static,IR,Positive predictive value,97.7 ± 4.4,"[95.7, 99.2]",0.0565
nlms_imu_anc,static,IR,Positive predictive value,72.1 ± 9.8,"[68.2, 76.2]",6.00e-05
nmf_bss*,dynamic,IR,Positive predictive value,93.8 ± 6.9,"[90.8, 96.5]",0.0046
fastica_bss,dynamic,IR,Positive predictive value,92.6 ± 6.9,"[89.8, 95.4]",0.0263
pca_bss,dynamic,IR,Positive predictive value,92.4 ± 7.7,"[89.1, 95.3]",0.0263
spectral_mask,dynamic,IR,Positive predictive value,91.8 ± 8.7,"[88.1, 95.2]",0.0054
ssa_decomposition,dynamic,IR,Positive predictive value,91.7 ± 9.4,"[87.7, 95.4]",0.0056
identity,dynamic,IR,Positive predictive value,90.3 ± 10.1,"[86.1, 94.3]",Reference
nlms_imu_anc,dynamic,IR,Positive predictive value,71.4 ± 8.9,"[67.9, 75.1]",6.00e-05
nmf_bss*,static,RED,Positive predictive value,99.1 ± 1.8,"[98.3, 99.7]",0.0015
spectral_mask,static,RED,Positive predictive value,98.9 ± 1.8,"[98.1, 99.6]",0.0009
pca_bss,static,RED,Positive predictive value,98.5 ± 1.9,"[97.7, 99.2]",0.1880
ssa_decomposition,static,RED,Positive predictive value,97.9 ± 4.0,"[96.1, 99.3]",0.2475
fastica_bss,static,RED,Positive predictive value,97.7 ± 4.4,"[95.7, 99.2]",0.6572
identity,static,RED,Positive predictive value,97.2 ± 4.5,"[95.2, 98.9]",Reference
nlms_imu_anc,static,RED,Positive predictive value,71.2 ± 9.5,"[67.5, 75.2]",6.00e-05
nmf_bss*,dynamic,RED,Positive predictive value,93.2 ± 7.1,"[90.2, 95.9]",0.0023
fastica_bss,dynamic,RED,Positive predictive value,92.6 ± 6.9,"[89.8, 95.4]",0.0023
pca_bss,dynamic,RED,Positive predictive value,92.4 ± 7.7,"[89.1, 95.3]",0.0006
spectral_mask,dynamic,RED,Positive predictive value,91.4 ± 8.9,"[87.6, 94.9]",0.0006
ssa_decomposition,dynamic,RED,Positive predictive value,91.1 ± 9.6,"[87.1, 94.9]",0.0023
identity,dynamic,RED,Positive predictive value,89.3 ± 10.3,"[84.9, 93.4]",Reference
nlms_imu_anc,dynamic,RED,Positive predictive value,71.2 ± 8.7,"[67.9, 75.0]",6.00e-05
spectral_mask*,static,IR,IBI-PPI RMSE,21.1 ± 11.0,"[16.8, 25.9]",0.0092
ssa_decomposition,static,IR,IBI-PPI RMSE,22.3 ± 14.0,"[16.9, 28.4]",0.0032
identity,static,IR,IBI-PPI RMSE,28.6 ± 21.4,"[20.5, 38.1]",Reference
pca_bss,static,IR,IBI-PPI RMSE,34.4 ± 26.9,"[24.2, 46.3]",0.0312
fastica_bss,static,IR,IBI-PPI RMSE,34.8 ± 20.5,"[26.7, 43.5]",0.2271
nmf_bss,static,IR,IBI-PPI RMSE,51.7 ± 22.5,"[42.8, 61.2]",0.0006
nlms_imu_anc,static,IR,IBI-PPI RMSE,119.1 ± 17.7,"[112.0, 126.2]",6.00e-05
spectral_mask*,dynamic,IR,IBI-PPI RMSE,70.0 ± 45.5,"[51.8, 89.0]",0.0656
ssa_decomposition,dynamic,IR,IBI-PPI RMSE,70.4 ± 48.7,"[51.0, 90.7]",0.0154
pca_bss,dynamic,IR,IBI-PPI RMSE,71.4 ± 43.4,"[53.9, 89.4]",0.1547
fastica_bss,dynamic,IR,IBI-PPI RMSE,71.7 ± 39.9,"[55.5, 88.0]",0.3947
identity,dynamic,IR,IBI-PPI RMSE,74.3 ± 48.7,"[54.7, 94.4]",Reference
nmf_bss,dynamic,IR,IBI-PPI RMSE,84.2 ± 37.6,"[69.0, 99.6]",0.0656
nlms_imu_anc,dynamic,IR,IBI-PPI RMSE,146.9 ± 19.4,"[138.9, 154.7]",6.00e-05
