model_id,dataset,aggregation_level,true_static_predicted_static,true_static_predicted_motion,true_motion_predicted_static,true_motion_predicted_motion
frailty29_trained_motion_detector,frailty29_outer_oof,file_median_window_probability,144,1,7,104
frailty29_trained_motion_detector,frailty29_trained_to_ptt22,file_median_window_probability,22,0,19,25
