group_id,model,resolved_model,extra_input,cnn_epochs,cnn_patience,window_sec,hop_sec,overlap_pct,max_windows_fraction,n_completed,n_failed,best_single_repeat,best_single_subject_macro_f1,best_single_subject_balanced_accuracy,best_single_file_macro_f1,best_single_file_balanced_accuracy,best_single_report_path,window_balanced_accuracy_mean,window_balanced_accuracy_std,window_balanced_accuracy_best,window_macro_f1_mean,window_macro_f1_std,window_macro_f1_best,file_balanced_accuracy_mean,file_balanced_accuracy_std,file_balanced_accuracy_best,file_macro_f1_mean,file_macro_f1_std,file_macro_f1_best,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_best,subject_macro_f1_mean,subject_macro_f1_std,subject_macro_f1_best,best_val_loss_mean,best_val_loss_std,best_val_loss_best,best_val_accuracy_mean,best_val_accuracy_std,best_val_accuracy_best,duration_sec_mean,duration_sec_std,duration_sec_best
8,inceptiontime,inception_time,0,50,10,15.0,2.999999999999999,80.0,0.9,5,0,4,0.7638888888888888,0.7638888888888888,0.7337777129048476,0.7314814814814815,results_frailty3/20260525_0807/reports/g0008_r4_inceptiontime_extra-0_ep50_seq15_ov080_mw090_seed30042_report.json,0.6293001807783127,0.016107519726324224,0.6576841695719279,0.6247410488068811,0.020956104639118966,0.660676369616641,0.6674074074074074,0.03360690209336109,0.7314814814814815,0.6622493202556494,0.037743153952785,0.7337777129048476,0.7101851851851853,0.029074663829828838,0.7638888888888888,0.7027995273647447,0.031988540537505696,0.7638888888888888,0.9118747685801616,0.3294251956863059,1.2808462140264394,0.762256678514946,0.062349385878898475,0.8805326724632754,332.537280387152,40.258649303232026,397.4885778101161
7,inceptiontime,inception_time,0,20,10,15.0,2.999999999999999,80.0,0.9,5,0,4,0.7981502669717773,0.8009259259259259,0.7157902628461758,0.7277777777777777,results_frailty3/20260525_0807/reports/g0007_r4_inceptiontime_extra-0_ep20_seq15_ov080_mw090_seed30042_report.json,0.6407663833367224,0.024729473691350316,0.6796963397998708,0.6340433367071914,0.025645171256657846,0.6715183545293337,0.673888888888889,0.028318199783133702,0.7277777777777777,0.6655754226170396,0.027390578530595976,0.7157902628461758,0.7046296296296296,0.05175255041660045,0.8009259259259259,0.6981963967890741,0.059317419557224395,0.7981502669717773,0.970824944579534,0.3067985317295822,1.2227333663832862,0.7662846124247535,0.056596611481201264,0.8493462021388334,288.7315868318081,19.970634043358075,314.39278617687523
1,cnn,cnn1d,0,20,10,15.0,2.999999999999999,80.0,0.9,5,0,2,0.7327935222672064,0.7175925925925926,0.6487828295264887,0.6314814814814814,results_frailty3/20260525_0807/reports/g0001_r2_cnn_extra-0_ep20_seq15_ov080_mw090_seed10042_report.json,0.5765188510957137,0.0168005741012656,0.600265134669428,0.5786148625130803,0.017718553428434924,0.5957841970612329,0.6057407407407407,0.023804761428476144,0.6314814814814814,0.6099943234827829,0.026033509308138497,0.6487828295264887,0.6537037037037037,0.052329152410906625,0.7175925925925926,0.6549552887996823,0.05310482818839444,0.7327935222672064,1.2493859310138984,0.2539445016389067,1.5850624283341375,0.7034110466773253,0.03743487010575163,0.7728512428535933,67.42518755467609,5.095875244476378,75.16435636812821
2,cnn,cnn1d,0,50,10,15.0,2.999999999999999,80.0,0.9,5,0,2,0.6949620427881298,0.6990740740740741,0.6703453453453454,0.6685185185185185,results_frailty3/20260525_0807/reports/g0002_r2_cnn_extra-0_ep50_seq15_ov080_mw090_seed10042_report.json,0.5947702643556811,0.02161830737752538,0.6300293640962975,0.593843256625114,0.027555853081116122,0.6323860455504305,0.6272222222222222,0.026660235850100605,0.6685185185185185,0.6249970728769989,0.03157229301351666,0.6703453453453454,0.649074074074074,0.0285989726138528,0.6990740740740741,0.6468375149625655,0.03411003975476928,0.6949620427881298,1.2588161398146467,0.2393994742156888,1.5850624283341375,0.7298479133590106,0.029986703475424138,0.7744254638689942,88.1463765911758,17.060983494830793,116.82101936126128
4,cnn,cnn1d,PPI,50,10,15.0,2.999999999999999,80.0,0.9,5,0,4,0.6716374269005847,0.6666666666666666,0.6152986447104095,0.6092592592592593,results_frailty3/20260525_0807/reports/g0004_r4_cnn_extra-PPI_ep50_seq15_ov080_mw090_seed30042_report.json,0.6003589622967426,0.037883802601448496,0.6603958433698957,0.5926273723087319,0.03352488443403036,0.6444504618601229,0.6083333333333333,0.03166070985775345,0.6601851851851852,0.6010179409637112,0.02611869680429156,0.6419220000788673,0.6416666666666666,0.03079312805243685,0.6759259259259259,0.6339861730976282,0.030217889136824348,0.6716374269005847,1.3026913998103269,0.5396702738811318,1.952989314085373,0.7693021994094311,0.04997279286861935,0.8524057062927671,97.00553347812965,15.633671704154757,119.62104007974267
3,cnn,cnn1d,PPI,20,10,15.0,2.999999999999999,80.0,0.9,5,0,3,0.6892623716153129,0.7129629629629629,0.675729980664534,0.7037037037037037,results_frailty3/20260525_0807/reports/g0003_r3_cnn_extra-PPI_ep20_seq15_ov080_mw090_seed20042_report.json,0.5965342420074728,0.047571653268354955,0.6758383567332359,0.589601362701517,0.03899214610728688,0.6517288777764483,0.6125925925925925,0.051535410070006005,0.7037037037037037,0.6040491609943989,0.04248628884531359,0.675729980664534,0.6472222222222221,0.043172382321758365,0.7129629629629629,0.6338526665549146,0.03929858389877171,0.6892623716153129,1.263353129255453,0.5149967107857404,1.952989314085373,0.7653606001108569,0.043638324879985715,0.8326977097998958,81.89565483406186,9.338267990406273,96.46544779511169
5,cnn,cnn1d,HRV,20,10,15.0,2.999999999999999,80.0,0.9,5,0,2,0.6535409035409036,0.6574074074074074,0.6008080808080808,0.5972222222222222,results_frailty3/20260525_0807/reports/g0005_r2_cnn_extra-HRV_ep20_seq15_ov080_mw090_seed10042_report.json,0.5873291752850308,0.03862766877374859,0.6489203197891138,0.5888407137785296,0.03572726210254859,0.6412989434254711,0.6025925925925927,0.030159611980053392,0.6490740740740741,0.6050133319686555,0.026674557600522064,0.6402025608374814,0.6166666666666667,0.04501942881904895,0.6574074074074074,0.6170439703977192,0.04498465898809141,0.6535409035409036,1.4077683679023605,0.21521401029237228,1.621477075354973,0.7419692978751223,0.04170349335735578,0.7897835202365698,81.08036969946697,7.8677601398242105,89.3066369947046
6,cnn,cnn1d,HRV,50,10,15.0,2.999999999999999,80.0,0.9,5,0,3,0.6344393592677345,0.6388888888888888,0.657971154258283,0.6648148148148149,results_frailty3/20260525_0807/reports/g0006_r3_cnn_extra-HRV_ep50_seq15_ov080_mw090_seed20042_report.json,0.5790943318803734,0.03470162806641482,0.6314862467299428,0.5781872330308044,0.032593031638105195,0.6267942772343917,0.6033333333333333,0.04005996876426256,0.6648148148148149,0.6017908435444105,0.03700301016816547,0.657971154258283,0.611111111111111,0.02971630839977999,0.6388888888888888,0.6103696994589443,0.026757070056789137,0.6344393592677345,1.3315092024883313,0.3376301396759682,1.621477075354973,0.7471281464661874,0.05412374625869054,0.8310230838421577,99.08197524491698,19.82317065474892,127.54954448109493
9,inceptiontime,inception_time,PPI,20,10,15.0,2.999999999999999,80.0,0.9,5,0,3,0.6985507246376811,0.7129629629629629,0.6502261944168598,0.6611111111111111,results_frailty3/20260525_0807/reports/g0009_r3_inceptiontime_extra-PPI_ep20_seq15_ov080_mw090_seed20042_report.json,0.5860145768784002,0.036580829593487976,0.6581801002608026,0.5751664922258436,0.03889937286973065,0.6487816541197758,0.6040740740740741,0.030790900620841295,0.6611111111111111,0.5927186166324699,0.03062278792274535,0.6502261944168598,0.6175925925925926,0.05451180010938897,0.7129629629629629,0.601393305397882,0.054534146502458546,0.6985507246376811,1.3059959174253462,0.36298275081437104,1.835232597365832,0.7598807521122135,0.050618299812606404,0.8264152450558021,290.4842246535234,17.493988691678357,321.531009497121
10,inceptiontime,inception_time,PPI,50,10,15.0,2.999999999999999,80.0,0.9,1,0,1,0.5553366174055829,0.5416666666666666,0.5979393830164308,0.5851851851851851,results_frailty3/20260525_0807/reports/g0010_r1_inceptiontime_extra-PPI_ep50_seq15_ov080_mw090_seed42_report.json,0.5742972186222115,0.0,0.5742972186222115,0.5849546508623171,0.0,0.5849546508623171,0.5851851851851851,0.0,0.5851851851851851,0.5979393830164308,0.0,0.5979393830164308,0.5416666666666666,0.0,0.5416666666666666,0.5553366174055829,0.0,0.5553366174055829,0.6493646385621987,0.0,0.6493646385621987,0.8645008427150863,0.0,0.8645008427150863,414.6795447310433,0.0,414.6795447310433
