source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_090,5,40042,0.5324074074074073,0.4993252361673415,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_091,1,42,0.5555555555555555,0.5549707602339181,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_091,2,10042,0.4861111111111111,0.4753246753246753,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_091,3,20042,0.5370370370370371,0.5192307692307693,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_091,4,30042,0.5787037037037037,0.5485505206867436,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_091,5,40042,0.5833333333333334,0.5900488400488401,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_092,1,42,0.4768518518518518,0.4782957393483709,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_092,2,10042,0.5,0.4841269841269841,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_092,3,20042,0.5555555555555555,0.5473389355742296,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_092,4,30042,0.4490740740740741,0.4122807017543859,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_092,5,40042,0.5648148148148148,0.5583028083028083,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_093,1,42,0.5277777777777778,0.5221205186880243,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_093,2,10042,0.4675925925925925,0.4330409356725146,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_093,3,20042,0.4953703703703704,0.4686937576963152,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_093,4,30042,0.625,0.6296296296296297,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_093,5,40042,0.5231481481481481,0.507020757020757,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
