descriptive_rank,overfit_config_id,overfit_config_name,model,resolved_model,overfit_stage,stage1_screen_group,stage1_regularization_factor,stage1_regularization_value,cnn_epochs,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,max_windows_fraction,sqi_mode,aggregation,manual_features,loss_type,class_weight_mode,n_runs,seeds,window_balanced_accuracy_n_repeats,window_balanced_accuracy_mean,window_balanced_accuracy_sample_sd,window_balanced_accuracy_repeat_t_ci95_low,window_balanced_accuracy_repeat_t_ci95_high,window_balanced_accuracy_repeat_t_ci95_method,window_macro_f1_n_repeats,window_macro_f1_mean,window_macro_f1_sample_sd,window_macro_f1_repeat_t_ci95_low,window_macro_f1_repeat_t_ci95_high,window_macro_f1_repeat_t_ci95_method,file_balanced_accuracy_n_repeats,file_balanced_accuracy_mean,file_balanced_accuracy_sample_sd,file_balanced_accuracy_repeat_t_ci95_low,file_balanced_accuracy_repeat_t_ci95_high,file_balanced_accuracy_repeat_t_ci95_method,file_macro_f1_n_repeats,file_macro_f1_mean,file_macro_f1_sample_sd,file_macro_f1_repeat_t_ci95_low,file_macro_f1_repeat_t_ci95_high,file_macro_f1_repeat_t_ci95_method,subject_balanced_accuracy_n_repeats,subject_balanced_accuracy_mean,subject_balanced_accuracy_sample_sd,subject_balanced_accuracy_repeat_t_ci95_low,subject_balanced_accuracy_repeat_t_ci95_high,subject_balanced_accuracy_repeat_t_ci95_method,subject_macro_f1_n_repeats,subject_macro_f1_mean,subject_macro_f1_sample_sd,subject_macro_f1_repeat_t_ci95_low,subject_macro_f1_repeat_t_ci95_high,subject_macro_f1_repeat_t_ci95_method,duration_sec_n_repeats,duration_sec_mean,duration_sec_sample_sd,duration_sec_repeat_t_ci95_low,duration_sec_repeat_t_ci95_high,duration_sec_repeat_t_ci95_method,source_study,formal_v2_selection_eligible
11,s1_065,main_effect_loss_type-focal_loss_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossfocal_loss_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,main_effect,loss_type,focal_loss,10,0.001,0.005,0.5,0.2,0.9,none,mean_prob,none,focal_loss,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.4910465253974599,0.022339332534849925,0.46330858044503465,0.5187844703498852,two_sided_student_t_0.95,5,0.48684054720066133,0.023811902563394372,0.45727416505895857,0.5164069293423641,two_sided_student_t_0.95,5,0.5087037037037037,0.029459872501276945,0.47212444062719494,0.5452829667802124,two_sided_student_t_0.95,5,0.5046540287368193,0.028229310465549395,0.46960271023762984,0.5397053472360088,two_sided_student_t_0.95,5,0.5703703703703703,0.02106354290014322,0.544216527476642,0.5965242132640987,two_sided_student_t_0.95,5,0.5704112212899398,0.025490635160356812,0.5387604173199777,0.6020620252599019,two_sided_student_t_0.95,5,479.28063014373186,0.27938092565082256,478.9337329065664,479.62752738089733,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
12,s1_003,main_effect_weight_decay-0p002_lr0.001_wd0.002_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,stage1,main_effect,weight_decay,0.002,9,0.001,0.002,0.5,0.2,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.49661646981325436,0.04450064622538409,0.4413616194983926,0.5518713201281161,two_sided_student_t_0.95,5,0.4920253239500526,0.04605509524734129,0.43484037024758354,0.5492102776525217,two_sided_student_t_0.95,5,0.5333333333333333,0.07091951909947228,0.4452751196975942,0.6213915469690725,two_sided_student_t_0.95,5,0.5259964279009373,0.07345031884626557,0.4347958113329417,0.6171970444689329,two_sided_student_t_0.95,5,0.5703703703703703,0.07961078588408065,0.4715205236693988,0.6692202170713418,two_sided_student_t_0.95,5,0.5607222572823596,0.08022890729521163,0.4611049114786678,0.6603396030860513,two_sided_student_t_0.95,5,447.19398510679605,0.22161463602787534,446.9188141917652,447.4691560218269,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
13,s1_090,main_effect_dropout-0p3_lr0.001_wd0.005_do0.3_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,inceptiontime,inception_time,stage1,main_effect,dropout,0.3,15,0.001,0.005,0.3,0.2,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.519183907019989,0.032498789114231166,0.47883133059163163,0.5595364834483463,two_sided_student_t_0.95,5,0.5097441870897248,0.03306679878269341,0.4686863335054062,0.5508020406740434,two_sided_student_t_0.95,5,0.5403703703703704,0.04310083242618296,0.4868536184541655,0.5938871222865753,two_sided_student_t_0.95,5,0.5242614755591417,0.04298414544007868,0.47088960967264143,0.577633341445642,two_sided_student_t_0.95,5,0.5694444444444444,0.047552404130032706,0.5104003362081467,0.6284885526807421,two_sided_student_t_0.95,5,0.5469259559184179,0.05420125744500959,0.47962620589157556,0.6142257059452602,two_sided_student_t_0.95,5,727.5726816389245,0.5469768206404594,726.8935202128832,728.2518430649657,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
14,s1_074,focused_combo_combined_regularization-wd0p01_do0p5_ls0p15_mw0p9_lr0.001_wd0.01_do0.5_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,focused_combo,combined_regularization,wd0.01_do0.5_ls0.15_mw0.9,10,0.001,0.01,0.5,0.15,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5111239836120081,0.043590019746055524,0.45699982541233963,0.5652481418116765,two_sided_student_t_0.95,5,0.5063003720801327,0.04129969995306202,0.45502002151179777,0.5575807226484676,two_sided_student_t_0.95,5,0.5381481481481482,0.0668573661417155,0.4551337635952526,0.6211625327010437,two_sided_student_t_0.95,5,0.5309162885362098,0.06674085429571529,0.4480465725478569,0.6137860045245627,two_sided_student_t_0.95,5,0.5675925925925925,0.07418972453337087,0.47547388260285117,0.6597113025823339,two_sided_student_t_0.95,5,0.5576793692091847,0.08114716942228385,0.4569218503813933,0.6584368880369761,two_sided_student_t_0.95,5,488.5783414343838,0.19427261062962775,488.3371201279279,488.8195627408397,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
15,s1_079,quality_combo_sqi_aggregation-top70_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop70_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,quality_combo,sqi_aggregation,top70_quality_quality_weighted_mean,10,0.001,0.005,0.5,0.2,0.9,top70_quality,quality_weighted_mean,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.520687070512763,0.0497480759289382,0.45891667565189304,0.582457465373633,two_sided_student_t_0.95,5,0.514350407731786,0.052225152783977366,0.44950431571923005,0.5791964997443418,two_sided_student_t_0.95,5,0.5555555555555556,0.062433091758314,0.4780346332227048,0.6330764778884064,two_sided_student_t_0.95,5,0.547293129149081,0.06608561685998655,0.4652369978949479,0.6293492604032142,two_sided_student_t_0.95,5,0.5666666666666667,0.08992690599868632,0.4550076650182435,0.6783256683150898,two_sided_student_t_0.95,5,0.5578343479406879,0.100719391851426,0.43277470515779437,0.6828939907235814,two_sided_student_t_0.95,5,357.2164042428136,0.25883190150029967,356.8950219891341,357.53778649649314,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
16,s1_057,main_effect_max_windows_fraction-0p7_lr0.001_wd0.005_do0.5_ls0.2_mw70_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,main_effect,max_windows_fraction,0.7,10,0.001,0.005,0.5,0.2,0.7,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5168455103761367,0.048915028300928545,0.45610948076375535,0.577581539988518,two_sided_student_t_0.95,5,0.5097660904182026,0.0559139485127864,0.44033975355245675,0.5791924272839486,two_sided_student_t_0.95,5,0.5544444444444444,0.0637189096838855,0.47532696828516646,0.6335619206037224,two_sided_student_t_0.95,5,0.540907242045346,0.07333345488385645,0.44985173125216127,0.6319627528385308,two_sided_student_t_0.95,5,0.5657407407407409,0.08913690322838676,0.45506265709067995,0.6764188243908018,two_sided_student_t_0.95,5,0.5529212967576139,0.09934019910432759,0.4295741479553763,0.6762684455598515,two_sided_student_t_0.95,5,380.4384327942971,0.11061311051800966,380.30108847723756,380.5757771113567,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
17,s1_002,main_effect_weight_decay-0p001_lr0.001_wd0.001_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,stage1,main_effect,weight_decay,0.001,9,0.001,0.001,0.5,0.2,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.4934466437046191,0.04129579772558626,0.4421711383916537,0.5447221490175845,two_sided_student_t_0.95,5,0.48969561375288323,0.04428945270544849,0.43470299482837943,0.544688232677387,two_sided_student_t_0.95,5,0.5338888888888889,0.0685016245439314,0.4488328878742177,0.61894488990356,two_sided_student_t_0.95,5,0.5279254904525061,0.07429710386038373,0.4356734514182616,0.6201775294867506,two_sided_student_t_0.95,5,0.5657407407407408,0.059143405269153015,0.4923045036868585,0.639176977794623,two_sided_student_t_0.95,5,0.5589990504851187,0.06338469589092514,0.4802965555602627,0.6377015454099746,two_sided_student_t_0.95,5,446.93025962635875,0.23517928932136756,446.6382459696853,447.2222732830322,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
18,s1_068,focused_combo_combined_regularization-wd0p005_do0p4_ls0p3_mw0p9_lr0.001_wd0.005_do0.4_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,focused_combo,combined_regularization,wd0.005_do0.4_ls0.3_mw0.9,10,0.001,0.005,0.4,0.3,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5136335314309495,0.029010956434887412,0.47761167127229187,0.5496553915896071,two_sided_student_t_0.95,5,0.5058002056119093,0.023085067487448287,0.4771363084166405,0.5344641028071782,two_sided_student_t_0.95,5,0.5553703703703705,0.03438041639582145,0.5126814450884245,0.5980592956523165,two_sided_student_t_0.95,5,0.5429305912827351,0.028977030592114508,0.5069508556216574,0.5789103269438128,two_sided_student_t_0.95,5,0.5657407407407407,0.029716308399780032,0.5288430704412136,0.6026384110402677,two_sided_student_t_0.95,5,0.5487017156676599,0.02268571982771154,0.5205336740842531,0.5768697572510667,two_sided_student_t_0.95,5,489.05095732472836,1.1794498388146846,487.58647692218494,490.5154377272718,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
19,s1_051,main_effect_dropout-0p7_lr0.001_wd0.005_do0.7_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,main_effect,dropout,0.7,10,0.001,0.005,0.7,0.2,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5096666270893189,0.04148711139370984,0.45815357448228006,0.5611796796963576,two_sided_student_t_0.95,5,0.5028497680251448,0.03826972532474199,0.45533162786826575,0.5503679081820239,two_sided_student_t_0.95,5,0.5407407407407406,0.04885081991440895,0.4800844363702834,0.6013970451111978,two_sided_student_t_0.95,5,0.5291537647756759,0.04723930746137315,0.4704984174008103,0.5878091121505415,two_sided_student_t_0.95,5,0.5648148148148148,0.06612433730132268,0.48271060578268,0.6469190238469495,two_sided_student_t_0.95,5,0.5525769470056723,0.07779624249301346,0.4559801535065674,0.6491737405047772,two_sided_student_t_0.95,5,488.68188643744213,0.2311461487907465,488.3948805861652,488.9688922887191,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
20,s1_052,main_effect_label_smoothing-0p05_lr0.001_wd0.005_do0.5_ls0.05_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,main_effect,label_smoothing,0.05,10,0.001,0.005,0.5,0.05,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5036595440403031,0.021030134001626413,0.4775471837730827,0.5297719043075235,two_sided_student_t_0.95,5,0.49622130018420885,0.021483054175847068,0.46954656524259847,0.5228960351258193,two_sided_student_t_0.95,5,0.5320370370370371,0.0212418789452541,0.5056617606965125,0.5584123133775617,two_sided_student_t_0.95,5,0.5204663653166179,0.015341948114108663,0.501416820681019,0.5395159099522169,two_sided_student_t_0.95,5,0.5638888888888889,0.03328829261527324,0.5225560143868317,0.605221763390946,two_sided_student_t_0.95,5,0.5494666580982371,0.02996435448473938,0.5122609979051207,0.5866723182913536,two_sided_student_t_0.95,5,488.8456804265734,0.23168030151259986,488.5580113370922,489.1333495160546,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
