source_study,comparison_family,comparison_id,comparison_role,factor,epoch,reference_case_id,candidate_case_id,repeat,split_seed,comparison_contract_status,difference_direction,reference_balanced_accuracy,candidate_balanced_accuracy,balanced_accuracy_delta,reference_macro_f1,candidate_macro_f1,macro_f1_delta,reference_macro_roc_auc_ovr,candidate_macro_roc_auc_ovr,macro_roc_auc_ovr_delta,macro_roc_auc_ovr_applicability,macro_roc_auc_ovr_unavailability_reason,automatic_selection
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=9:s1_033_vs_s1_001:signal=3,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,9,s1_001,s1_033,1,42,matched_aggregate_repeat_seed,candidate_minus_reference,0.5416666666666666,0.5972222222222222,0.05555555555555558,0.5400501253132832,0.603425985778927,0.06337586046564381,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=9:s1_033_vs_s1_001:signal=3,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,9,s1_001,s1_033,2,10042,matched_aggregate_repeat_seed,candidate_minus_reference,0.4259259259259259,0.5,0.07407407407407413,0.4229595728451563,0.4838468720821662,0.06088729923700992,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=9:s1_033_vs_s1_001:signal=3,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,9,s1_001,s1_033,3,20042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5,0.5740740740740741,0.07407407407407407,0.4814814814814814,0.5389016018306636,0.0574201203491822,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=9:s1_033_vs_s1_001:signal=3,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,9,s1_001,s1_033,4,30042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5833333333333334,0.611111111111111,0.02777777777777768,0.584920634920635,0.5992063492063492,0.014285714285714235,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=9:s1_033_vs_s1_001:signal=3,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,9,s1_001,s1_033,5,40042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5972222222222222,0.5833333333333334,-0.01388888888888884,0.5945165945165946,0.5521885521885522,-0.042328042328042326,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=dropout:epoch=9:s1_008_vs_s1_001:signal=4,exploratory_post_hoc_factor_signal_not_ablation,dropout,9,s1_001,s1_008,1,42,matched_aggregate_repeat_seed,candidate_minus_reference,0.5416666666666666,0.5601851851851852,0.0185185185185186,0.5400501253132832,0.5588235294117648,0.018773404098481605,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=dropout:epoch=9:s1_008_vs_s1_001:signal=4,exploratory_post_hoc_factor_signal_not_ablation,dropout,9,s1_001,s1_008,2,10042,matched_aggregate_repeat_seed,candidate_minus_reference,0.4259259259259259,0.4583333333333333,0.03240740740740744,0.4229595728451563,0.445021645021645,0.0220620721764887,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=dropout:epoch=9:s1_008_vs_s1_001:signal=4,exploratory_post_hoc_factor_signal_not_ablation,dropout,9,s1_001,s1_008,3,20042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5,0.5370370370370371,0.03703703703703709,0.4814814814814814,0.5140096618357487,0.0325281803542673,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=dropout:epoch=9:s1_008_vs_s1_001:signal=4,exploratory_post_hoc_factor_signal_not_ablation,dropout,9,s1_001,s1_008,4,30042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5833333333333334,0.5879629629629629,0.004629629629629539,0.584920634920635,0.5910784313725491,0.006157796451914166,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=dropout:epoch=9:s1_008_vs_s1_001:signal=4,exploratory_post_hoc_factor_signal_not_ablation,dropout,9,s1_001,s1_008,5,40042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5972222222222222,0.5972222222222222,0.0,0.5945165945165946,0.5865546218487395,-0.007961972667855033,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
