source_study,classifier_id,case_id,config_name,model,resolved_model,repeat,split_seed,metric_scope,class_label,precision,sensitivity,f1,support,true_positive,false_positive,false_negative,true_negative,predicted_support,specificity,balanced_accuracy,roc_auc,pr_auc,result_applicability,missing_archived_fields,precision_applicability,sensitivity_applicability,f1_applicability,support_applicability,confusion_count_applicability,specificity_applicability,balanced_accuracy_applicability,roc_auc_applicability,pr_auc_applicability
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,1,42,participant_hard_label_archived_repeat,pre_frail,0.6,0.6666666666666666,0.631578947368421,9,6,4,3,16,10,0.8,0.7333333333333334,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,1,42,participant_hard_label_archived_repeat,robust_non_frail,0.5384615384615384,0.5833333333333334,0.56,12,7,6,5,11,13,0.6470588235294118,0.6151960784313726,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,1,42,participant_hard_label_archived_repeat,young,0.5,0.375,0.4285714285714285,8,3,3,5,18,6,0.8571428571428571,0.6160714285714286,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,2,10042,participant_hard_label_archived_repeat,pre_frail,0.4,0.4444444444444444,0.4210526315789473,9,4,6,5,14,10,0.7,0.5722222222222222,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,2,10042,participant_hard_label_archived_repeat,robust_non_frail,0.3636363636363636,0.3333333333333333,0.3478260869565217,12,4,7,8,10,11,0.5882352941176471,0.4607843137254902,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,2,10042,participant_hard_label_archived_repeat,young,0.5,0.5,0.5,8,4,4,4,17,8,0.8095238095238095,0.6547619047619048,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,3,20042,participant_hard_label_archived_repeat,pre_frail,0.5454545454545454,0.6666666666666666,0.6,9,6,5,3,15,11,0.75,0.7083333333333333,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,3,20042,participant_hard_label_archived_repeat,robust_non_frail,0.5,0.3333333333333333,0.4,12,4,4,8,13,8,0.7647058823529411,0.5490196078431372,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,3,20042,participant_hard_label_archived_repeat,young,0.4,0.5,0.4444444444444444,8,4,6,4,15,10,0.7142857142857143,0.6071428571428572,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,4,30042,participant_hard_label_archived_repeat,pre_frail,0.5454545454545454,0.6666666666666666,0.6,9,6,5,3,15,11,0.75,0.7083333333333333,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
