source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_055,inception_time,s1_055,s1_055,5,40042,0.625,0.6179337231968811,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_061,inception_time,s1_061,s1_061,1,42,0.625,0.6352882205513785,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_061,inception_time,s1_061,s1_061,2,10042,0.5462962962962963,0.5476608187134503,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_061,inception_time,s1_061,s1_061,3,20042,0.5416666666666666,0.5373015873015873,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_061,inception_time,s1_061,s1_061,4,30042,0.5231481481481481,0.5044858523119393,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_061,inception_time,s1_061,s1_061,5,40042,0.6527777777777778,0.6527777777777778,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_065,inception_time,s1_065,s1_065,1,42,0.5555555555555555,0.5511060259344012,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_065,inception_time,s1_065,s1_065,2,10042,0.5416666666666666,0.5373015873015873,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_065,inception_time,s1_065,s1_065,3,20042,0.5787037037037037,0.5792592592592593,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_065,inception_time,s1_065,s1_065,4,30042,0.5925925925925926,0.5850241545893718,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
