source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_065,2,10042,0.5416666666666666,0.5373015873015873,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_065,3,20042,0.5787037037037037,0.5792592592592593,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_065,4,30042,0.5925925925925926,0.5850241545893718,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_065,5,40042,0.5833333333333334,0.5993650793650794,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_106,1,42,0.5509259259259259,0.5428571428571428,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_106,2,10042,0.4861111111111111,0.4782608695652173,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_106,3,20042,0.4074074074074074,0.4007936507936508,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_106,4,30042,0.6481481481481481,0.6198830409356725,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_106,5,40042,0.5370370370370371,0.5140096618357487,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_107,1,42,0.6342592592592592,0.6183006535947713,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_107,2,10042,0.5925925925925926,0.5900584795321637,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_107,3,20042,0.412037037037037,0.4107227432035616,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_107,4,30042,0.5509259259259259,0.5100880932082977,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_107,5,40042,0.4953703703703704,0.5015873015873016,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
