overfit_rank,rank,model,resolved_model,extra_input,cnn_epochs,cnn_patience,window_sec,hop_sec,overlap_pct,max_windows_fraction,overfit_stage,overfit_config_id,overfit_config_name,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,dynamic_data_mode,n_repeats,validation_subject_balanced_accuracy_mean,validation_subject_balanced_accuracy_std,validation_subject_balanced_accuracy_ci95_low,validation_subject_balanced_accuracy_ci95_high,validation_subject_balanced_accuracy_min,validation_subject_balanced_accuracy_max,validation_subject_macro_f1_mean,validation_subject_macro_f1_std,validation_subject_macro_f1_ci95_low,validation_subject_macro_f1_ci95_high,validation_subject_macro_f1_min,validation_subject_macro_f1_max,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_ci95_low,subject_balanced_accuracy_ci95_high,subject_balanced_accuracy_min,subject_balanced_accuracy_max,subject_macro_f1_mean,subject_macro_f1_std,subject_macro_f1_ci95_low,subject_macro_f1_ci95_high,subject_macro_f1_min,subject_macro_f1_max,worst_class_recall_mean,worst_class_recall_std,worst_class_recall_ci95_low,worst_class_recall_ci95_high,worst_class_recall_min,worst_class_recall_max,worst_class_f1_mean,worst_class_f1_std,worst_class_f1_ci95_low,worst_class_f1_ci95_high,worst_class_f1_min,worst_class_f1_max,best_epoch_mean,best_epoch_std,best_epoch_ci95_low,best_epoch_ci95_high,best_epoch_min,best_epoch_max,duration_sec_mean,duration_sec_std,duration_sec_ci95_low,duration_sec_ci95_high,duration_sec_min,duration_sec_max,best_epoch_train_balanced_accuracy_mean,best_epoch_train_balanced_accuracy_std,best_epoch_train_balanced_accuracy_ci95_low,best_epoch_train_balanced_accuracy_ci95_high,best_epoch_train_balanced_accuracy_min,best_epoch_train_balanced_accuracy_max,best_epoch_val_balanced_accuracy_mean,best_epoch_val_balanced_accuracy_std,best_epoch_val_balanced_accuracy_ci95_low,best_epoch_val_balanced_accuracy_ci95_high,best_epoch_val_balanced_accuracy_min,best_epoch_val_balanced_accuracy_max,train_val_balanced_accuracy_gap_mean,train_val_balanced_accuracy_gap_std,train_val_balanced_accuracy_gap_ci95_low,train_val_balanced_accuracy_gap_ci95_high,train_val_balanced_accuracy_gap_min,train_val_balanced_accuracy_gap_max,best_epoch_train_loss_mean,best_epoch_train_loss_std,best_epoch_train_loss_ci95_low,best_epoch_train_loss_ci95_high,best_epoch_train_loss_min,best_epoch_train_loss_max,best_epoch_val_loss_mean,best_epoch_val_loss_std,best_epoch_val_loss_ci95_low,best_epoch_val_loss_ci95_high,best_epoch_val_loss_min,best_epoch_val_loss_max,val_train_loss_gap_mean,val_train_loss_gap_std,val_train_loss_gap_ci95_low,val_train_loss_gap_ci95_high,val_train_loss_gap_min,val_train_loss_gap_max
1,2,inceptiontime,inception_time,0,50,20,5.0,2.5,50.0,0.9,reference,ref_original,original_rank_parameters_static_only,0.001,0.0001,-1.0,0.0,static_only,5,0.8333333333333334,0.16666666666666669,0.6264225098153529,1.0402441568513139,0.6666666666666666,1.0,0.8044444444444444,0.2002467613523344,0.5558451106551243,1.0530437782337645,0.6,1.0,0.6333333333333333,0.13944333775567927,0.4602193182385923,0.8064473484280743,0.5,0.8333333333333334,0.5955555555555556,0.15104573749303496,0.40803756795416823,0.783073543156943,0.4666666666666666,0.8222222222222223,0.2,0.2738612787525831,-0.1399891762983051,0.5399891762983051,0.0,0.5,0.2333333333333333,0.32489314482696546,-0.1700101155756303,0.636676782242297,0.0,0.6666666666666666,24.4,17.742604092973497,2.3731790546161697,46.426820945383824,3.0,44.0,79.98751399442554,23.60284860878316,50.68540493634427,109.28962305250681,46.730792459100485,102.01268009562045,0.9957760385798486,0.005612165361563752,0.9888087320397672,1.0027433451199301,0.9857946217298319,0.9989610928817263,0.6725671104941274,0.13290055359837194,0.5075757325479195,0.8375584884403353,0.5613402477979029,0.8197530864197531,0.32320892808572116,0.1312715089625805,0.16023995194234822,0.4861779042290941,0.17760043823007787,0.4376208450838234,0.013104758000005138,0.018429681944385407,-0.009775046009718307,0.035984562009728584,0.0029128669670158295,0.04589635751013438,1.7701959915093035,1.324370676197305,0.12603622797900882,3.4143557550395984,0.6067957708238273,3.9428986763285336,1.757091233509298,1.3265691441107672,0.11020214914028958,3.4039803178783066,0.602572514556279,3.939985809361518
2,2,inceptiontime,inception_time,0,50,12,5.0,2.5,50.0,0.9,stage1,s1_003,lr5e-4_wd1e-3_do0p2_ls0p05_mw90,0.0005,0.001,0.2,0.05,static_only,10,0.7666666666666666,0.16101529717988267,0.6514912642001098,0.8818420691332234,0.5,1.0,0.7033333333333334,0.21874125496923166,0.5468661372446584,0.8598005294220084,0.38888888888888884,1.0,0.6333333333333332,0.21942686286812776,0.4763757169735868,0.7902909496930796,0.3333333333333333,1.0,0.5988888888888889,0.23925180586945835,0.4277503479272775,0.7700274298505003,0.26666666666666666,1.0,0.3,0.34960294939005054,0.04992649080720285,0.5500735091927971,0.0,1.0,0.3333333333333333,0.376796110173626,0.06380836025827463,0.602858306408392,0.0,1.0,9.7,8.069834088890689,3.9275895191003602,15.472410480899638,2.0,26.0,47.85040365802124,17.618970191392297,35.24742730495575,60.453380011086736,31.19480053614825,83.72520507499576,0.9942553793003291,0.005599319455501793,0.9902501457410248,0.9982606128596335,0.9838400826760184,1.0,0.6711211619374874,0.12491391488897666,0.5817693383965337,0.7604729854784411,0.49927650437980375,0.8404063476085475,0.32313421736284176,0.12687740684387233,0.23237789387619456,0.41389054084948895,0.14343373506747092,0.49939564222390753,0.20664638108650601,0.018910619577082486,0.19311947861928783,0.2201732835537242,0.18301772968690905,0.24017577806457144,1.0270231917808001,0.30352513831470285,0.8099094729205467,1.2441369106410536,0.5169916226109266,1.4486264615577928,0.820376810694294,0.31297408011204625,0.5965041956704277,1.0442494257181605,0.2768158445463551,1.2583510272021983
3,2,inceptiontime,inception_time,0,50,12,5.0,2.5,50.0,0.9,stage1,s1_005,lr5e-4_wd5e-4_do0p2_ls0p10_mw90,0.0005,0.0005,0.2,0.1,static_only,10,0.75,0.19641855032959657,0.6095003954137632,0.8904996045862368,0.5,1.0,0.7011111111111111,0.23953830763167147,0.5297676333742478,0.8724545888479744,0.38888888888888884,1.0,0.6166666666666666,0.17655831757856338,0.49037322969458075,0.7429601036387524,0.3333333333333333,1.0,0.5677777777777777,0.1965023377069083,0.4272182394767168,0.7083373160788387,0.3,1.0,0.25,0.3535533905932738,-0.002899288255226229,0.5028992882552262,0.0,1.0,0.25,0.3535533905932738,-0.002899288255226229,0.5028992882552262,0.0,1.0,10.3,8.525126261691247,4.201915746728323,16.398084253271676,1.0,28.0,49.21716887112707,18.689823373446625,35.84820351958827,62.586134222665876,29.07064133323729,88.00037013925612,0.9905602802677163,0.015471906052221165,0.9794931143667116,1.001627446168721,0.9488641311435119,0.9997691064419302,0.6634837243506604,0.13039479806635057,0.5702113855736853,0.7567560631276354,0.5055333549018499,0.8493827160493828,0.32707655591705576,0.13347347418786215,0.23160201792317567,0.4225510939109358,0.14494867110596166,0.4857304852067059,0.3383453664331678,0.035833877040579776,0.3127131359409613,0.36397759692537435,0.3120070206056727,0.42941453728345363,1.0355103209788081,0.25525276046871603,0.8529261818777868,1.2180944600798296,0.6295409347392895,1.4003891685273913,0.6971649545456401,0.2676411466994971,0.5057193134939852,0.8886105955972949,0.2924129618901581,1.0822034886423642
4,2,inceptiontime,inception_time,0,50,12,5.0,2.5,50.0,0.9,stage1,s1_004,lr5e-4_wd5e-4_do0p4_ls0p05_mw90,0.0005,0.0005,0.4,0.05,static_only,10,0.7333333333333333,0.16101529717988267,0.6181579308667765,0.8485087357998901,0.5,1.0,0.6622222222222222,0.2086076383462649,0.5130036751341951,0.8114407693102492,0.38888888888888884,1.0,0.5666666666666667,0.1405456737852613,0.46613333333333334,0.6672,0.3333333333333333,0.8333333333333334,0.5277777777777778,0.1523703883757349,0.41878614088035226,0.6367694146752033,0.3,0.8222222222222223,0.2,0.25819888974716115,0.015308473394148397,0.3846915266058516,0.0,0.5,0.20666666666666664,0.2743342108801949,0.010433428571451686,0.4028999047618816,0.0,0.6666666666666666,10.0,9.451631252505216,3.239180049727697,16.760819950272303,1.0,26.0,48.505385065171865,20.437655994064226,33.886182443947355,63.124587686396374,29.152608779259026,82.98570651281625,0.9879619598293298,0.01849381571329796,0.9747332001696696,1.00119071948899,0.9383029238427961,0.9998444185141967,0.6560167466776312,0.1310267958136006,0.5622923353574111,0.7497411579978513,0.45149381573988423,0.8453566108535996,0.33194521315169856,0.13717711771898816,0.23382143224884477,0.43006899405455234,0.13486047462701256,0.5483506027743125,0.2241388089343644,0.04353499759779376,0.19299791140768546,0.2552797064610433,0.1874704083035651,0.3349613386018835,1.1234113232703824,0.4280070735067384,0.8172547790595581,1.4295678674812067,0.5102444486654647,2.0213066102398765,0.8992725143360178,0.433096849180754,0.5894752169049309,1.2090698117671048,0.259526598611568,1.789385889519428
5,2,inceptiontime,inception_time,0,50,12,5.0,2.5,50.0,0.5,stage1,s1_006,lr5e-4_wd5e-4_do0p2_ls0p05_mw50,0.0005,0.0005,0.2,0.05,static_only,10,0.7166666666666666,0.1932503014547343,0.5784333333333332,0.8548999999999999,0.3333333333333333,1.0,0.6455555555555554,0.23752553829916326,0.47565182622772056,0.8154592848833904,0.2222222222222222,1.0,0.55,0.17655831757856338,0.4237065630279142,0.6762934369720859,0.3333333333333333,0.8333333333333334,0.4966666666666666,0.18790958921093182,0.3622535832903968,0.6310797500429364,0.27777777777777773,0.8222222222222223,0.1,0.21081851067789198,-0.05080000000000001,0.2508,0.0,0.5,0.13333333333333333,0.2810913475705226,-0.06773333333333331,0.3344,0.0,0.6666666666666666,11.5,9.640769909319713,4.603887805437037,18.396112194562964,1.0,35.0,30.04986037062481,12.212667992891364,21.314050941907745,38.785669799341875,16.052903693169355,57.4959262907505,0.9802433577801318,0.03753771674945143,0.9533923584650565,1.0070943570952071,0.8988036336630137,0.9995847176079734,0.660868801422562,0.14958628891370052,0.553868650934583,0.7678689519105409,0.3938740987243483,0.871403821857136,0.31937455635756995,0.1499254765746736,0.21213178249126302,0.4266173302238769,0.12818089575083735,0.6032411339416553,0.23879881065417946,0.0836043195118611,0.17899603839358036,0.29860158291477856,0.1892438184689073,0.404857124009076,1.1874190209725182,0.47714867027659297,0.846111138441993,1.5287269035030433,0.4512550894334694,1.9974502925472526,0.9486202103183388,0.48018661769752197,0.605139262103956,1.2921011585327216,0.2620112709645621,1.7941135017259966
6,2,inceptiontime,inception_time,0,50,12,5.0,2.5,50.0,0.9,stage1,s1_002,lr5e-4_wd5e-4_do0p2_ls0p05_mw90,0.0005,0.0005,0.2,0.05,static_only,10,0.7333333333333333,0.17916128329552333,0.6051779762250347,0.8614886904416319,0.5,1.0,0.6722222222222223,0.23548391642980493,0.5037788797309571,0.8406655647134874,0.3333333333333333,1.0,0.5499999999999999,0.15811388300841897,0.43689999999999996,0.6630999999999999,0.3333333333333333,0.8333333333333334,0.5123809523809524,0.19289876239282577,0.37439907747204937,0.6503628272898554,0.19047619047619047,0.8222222222222223,0.25,0.26352313834736496,0.0615,0.4385,0.0,0.5,0.25666666666666665,0.2780221147612116,0.05779544434763262,0.4555378889857007,0.0,0.6666666666666666,11.1,8.90006242175363,4.733721209371994,17.466278790628007,2.0,29.0,50.92168116131798,19.370026088732175,37.06616190549805,64.7772004171379,30.872351727448404,89.459297940135,0.9957808479346427,0.004580425698727316,0.9925044364224513,0.9990572594468341,0.9860278187304855,0.9999221183800623,0.6688055410723027,0.12085264991235974,0.5823587696375635,0.755252312507042,0.5160154064023937,0.8452854659341126,0.32697530686233983,0.12153211063636259,0.24004251227503137,0.4139081014496483,0.15157566013901946,0.483583368884967,0.20171264626566873,0.01593192151535562,0.19031642798867673,0.21310886454266073,0.1828874561554528,0.23037518314992633,1.069361903951878,0.3380176394517059,0.8275754504501805,1.3111483574535756,0.5300450304504505,1.5543700973663626,0.8676492576862094,0.34400508197250057,0.6215799433995053,1.1137185719729135,0.32689106435191523,1.3670825451821824
7,2,inceptiontime,inception_time,0,50,12,5.0,2.5,50.0,0.9,stage1,s1_001,lr5e-4_wd1e-4_do0_ls0_mw90,0.0005,0.0001,0.0,0.0,static_only,10,0.7833333333333332,0.17655831757856338,0.6570398963612474,0.909626770305419,0.5,1.0,0.7277777777777777,0.22718229900713516,0.5652726420564644,0.890282913499091,0.4444444444444444,1.0,0.4666666666666667,0.1531560972454469,0.3571130065523444,0.5762203267809889,0.16666666666666666,0.6666666666666666,0.4223809523809524,0.1653867880924622,0.3040785909604724,0.5406833138014324,0.13333333333333333,0.6666666666666666,0.15,0.24152294576982394,-0.02276310369983514,0.32276310369983513,0.0,0.5,0.13,0.2110818693198342,-0.020988382334535927,0.28098838233453594,0.0,0.5,14.9,11.445037740824139,6.713282022690656,23.086717977309345,3.0,34.0,54.684623861964795,22.797341363435212,38.37752129041367,70.99172643351592,30.44731678813696,92.2483257111162,0.9952113072423193,0.004545576483099836,0.9919598236252152,0.9984627908594235,0.9875012510335451,1.0,0.6626560682679854,0.1254478039349562,0.5729223500448483,0.7523897864911225,0.4973920607261628,0.8385802469135802,0.332555238974334,0.12445818545479626,0.24352940198196849,0.42158107596669947,0.16141975308641976,0.5005301250372898,0.015995032603118346,0.015570933906624902,0.00485703136419168,0.02713303384204501,0.0005609953602142864,0.04302926227779254,2.1180890337970237,1.0568966992771827,1.362083208034813,2.8740948595592344,0.6629037275450839,4.300197156455805,2.1020940011939055,1.0579055089244354,1.3453665666207963,2.8588214357670148,0.6564196758248065,4.291682377184813
