worst_class_f1_stability_rank,predictive_rank,case_id,abstention_aware_worst_class_f1,abstention_aware_worst_class_recall,worst_class_f1,worst_class_recall,participant_abstention_aware_balanced_accuracy_mean_sd,participant_balanced_accuracy_mean_sd,balanced_accuracy_lcb95
1,1,b16_lr3e-4,0.5254237288135593,0.5166666666666667,0.5254237288135594,0.5166666666666667,59.5 ± 5.5,59.5 ± 5.5,0.4537037037037037
2,2,b16_lr1e-3,0.5156249999999999,0.55,0.515625,0.55,55.2 ± 4.6,55.2 ± 4.6,0.4185185185185185
3,3,b32_lr3e-4,0.5081967213114755,0.5111111111111111,0.5081967213114754,0.5111111111111111,54.3 ± 2.7,54.3 ± 2.7,0.41481481481481486
