case_id,bin_index,bin_left,bin_right,count,fraction,mean_confidence,accuracy
b16_lr3e-4,0,0.0,0.1,0,0.0,,
b16_lr3e-4,1,0.1,0.2,0,0.0,,
b16_lr3e-4,2,0.2,0.30000000000000004,0,0.0,,
b16_lr3e-4,3,0.30000000000000004,0.4,1,0.006896551724137931,0.37366025209447595,0.0
b16_lr3e-4,4,0.4,0.5,14,0.09655172413793103,0.4669345708619413,0.2857142857142857
b16_lr3e-4,5,0.5,0.6000000000000001,29,0.2,0.5402410182337112,0.5862068965517241
b16_lr3e-4,6,0.6000000000000001,0.7000000000000001,21,0.14482758620689656,0.6432383068272552,0.5714285714285714
b16_lr3e-4,7,0.7000000000000001,0.8,28,0.19310344827586207,0.7492342276486668,0.6428571428571429
b16_lr3e-4,8,0.8,0.9,21,0.14482758620689656,0.8418762964218625,0.5238095238095238
b16_lr3e-4,9,0.9,1.0,31,0.21379310344827587,0.951215288603613,0.7419354838709677
b16_lr1e-3,0,0.0,0.1,0,0.0,,
b16_lr1e-3,1,0.1,0.2,0,0.0,,
b16_lr1e-3,2,0.2,0.30000000000000004,0,0.0,,
b16_lr1e-3,3,0.30000000000000004,0.4,1,0.006896551724137931,0.391076477845942,0.0
b16_lr1e-3,4,0.4,0.5,8,0.05517241379310345,0.45354658888731736,0.25
b16_lr1e-3,5,0.5,0.6000000000000001,33,0.22758620689655173,0.5518592350868536,0.3939393939393939
b16_lr1e-3,6,0.6000000000000001,0.7000000000000001,25,0.1724137931034483,0.657760586416806,0.64
b16_lr1e-3,7,0.7000000000000001,0.8,28,0.19310344827586207,0.7482124738184464,0.5
b16_lr1e-3,8,0.8,0.9,24,0.16551724137931034,0.8469312281752862,0.5
b16_lr1e-3,9,0.9,1.0,26,0.1793103448275862,0.956735384152374,0.8846153846153846
b32_lr3e-4,0,0.0,0.1,0,0.0,,
b32_lr3e-4,1,0.1,0.2,0,0.0,,
b32_lr3e-4,2,0.2,0.30000000000000004,0,0.0,,
b32_lr3e-4,3,0.30000000000000004,0.4,2,0.013793103448275862,0.3699035204898411,0.0
b32_lr3e-4,4,0.4,0.5,6,0.041379310344827586,0.450324552081846,0.5
b32_lr3e-4,5,0.5,0.6000000000000001,35,0.2413793103448276,0.5472114272665767,0.45714285714285713
b32_lr3e-4,6,0.6000000000000001,0.7000000000000001,22,0.15172413793103448,0.6451434870186588,0.5454545454545454
b32_lr3e-4,7,0.7000000000000001,0.8,20,0.13793103448275862,0.7525730496139809,0.45
b32_lr3e-4,8,0.8,0.9,23,0.15862068965517243,0.8538238487567691,0.391304347826087
b32_lr3e-4,9,0.9,1.0,37,0.25517241379310346,0.9479159992071663,0.7837837837837838
