artifact_root,attempt,attempt_directory,case_id,config_sha256,elapsed_seconds,finished_utc,schema_version,started_utc,status,output_group,case_directory,resolved_config_path
attempts/attempt_001/experiment,1,attempts/attempt_001,b16_lr3e-4,9e9af62f461efc67e91cd30c9bf1d2c353168368514f764ab611094aa77874c4,4113.371756498993,2026-08-22T19:10:11+00:00,ppg_frailty.study_case_result.v2,2026-08-22T18:01:38+00:00,passed,raw,raw/b16_lr3e-4,raw/b16_lr3e-4/resolved_config.yaml
attempts/attempt_001/experiment,1,attempts/attempt_001,b16_lr1e-3,f388d2e88fa25482d7616601c0f9368204397dc678096548e582b4004342be2c,4108.968374683987,2026-08-22T20:18:40+00:00,ppg_frailty.study_case_result.v2,2026-08-22T19:10:11+00:00,passed,raw,raw/b16_lr1e-3,raw/b16_lr1e-3/resolved_config.yaml
attempts/attempt_001/experiment,1,attempts/attempt_001,b32_lr3e-4,c09fed7551336c46cff185f2b7c075d4bc9e2713780fab681d4288a9a41728fc,3009.300539185002,2026-08-22T21:08:49+00:00,ppg_frailty.study_case_result.v2,2026-08-22T20:18:40+00:00,passed,raw,raw/b32_lr3e-4,raw/b32_lr3e-4/resolved_config.yaml
