case_id,repeat,balanced_accuracy,macro_f1,macro_roc_auc_ovr,macro_pr_auc_ovr,worst_class_recall,worst_class_f1,n_predictions,class_order,aggregation_view,declared_source_line,evidence_role,quality_weighting,quality_weight_source,expected_calibration_error,metric_source
b16_lr3e-4,1,0.625,0.6271929824561403,0.7557267351384999,0.6577869708137166,0.5833333333333334,0.5833333333333334,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.17290576531157484,same_fitted_oof_report_reaggregation
b16_lr3e-4,2,0.6064814814814815,0.5881419234360411,0.7351229380641146,0.6411199073336754,0.4166666666666667,0.47619047619047616,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.24419291379923053,same_fitted_oof_report_reaggregation
b16_lr3e-4,3,0.5740740740740741,0.5692307692307693,0.791783380018674,0.7235149279956045,0.2222222222222222,0.3076923076923077,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.17384556800841344,same_fitted_oof_report_reaggregation
b16_lr3e-4,4,0.5601851851851852,0.5735338345864661,0.7579909741674448,0.6711149184539876,0.5,0.48,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.2068068392358479,same_fitted_oof_report_reaggregation
b16_lr3e-4,0,0.4953703703703704,0.5014619883040936,0.7277777777777777,0.6250718041982616,0.4166666666666667,0.4166666666666667,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,0.2549815922449222,same_fitted_oof_report_reaggregation
b16_lr3e-4,1,0.5925925925925926,0.5866114561766735,0.7644179894179896,0.6643796393951193,0.5,0.5217391304347826,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,0.12220362318240452,same_fitted_oof_report_reaggregation
b16_lr3e-4,2,0.6064814814814815,0.5851851851851851,0.7242608154372862,0.6338689691602966,0.4166666666666667,0.5,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,0.23588038313777487,same_fitted_oof_report_reaggregation
b16_lr3e-4,3,0.6203703703703703,0.6253086419753086,0.7975568004979768,0.7279295661449683,0.4444444444444444,0.5333333333333333,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,0.20206115973572983,same_fitted_oof_report_reaggregation
b16_lr3e-4,4,0.6620370370370371,0.673076923076923,0.7712340491752255,0.6843914504080745,0.5833333333333334,0.5833333333333334,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,0.24070111547870887,same_fitted_oof_report_reaggregation
b32_lr3e-4,0,0.5740740740740741,0.556390977443609,0.7224245253657019,0.6291595959775028,0.4166666666666667,0.47619047619047616,29,"[0, 1, 2]",window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.23678356214539195,same_fitted_oof_report_reaggregation
b32_lr3e-4,1,0.5833333333333334,0.5917948717948719,0.6831388110799876,0.5859966379191526,0.5,0.56,29,"[0, 1, 2]",window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.2461196273297718,same_fitted_oof_report_reaggregation
b32_lr3e-4,2,0.5231481481481481,0.5100069013112492,0.7406784936196701,0.6864560131226799,0.375,0.42857142857142855,29,"[0, 1, 2]",window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.27580949498828305,same_fitted_oof_report_reaggregation
b32_lr3e-4,3,0.5694444444444444,0.571975916803503,0.729614067849362,0.6260373330914266,0.3333333333333333,0.42857142857142855,29,"[0, 1, 2]",window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.1673861942345855,same_fitted_oof_report_reaggregation
