case_id,class_order,confusion_matrix,metric_source
b16_lr3e-4,"[0, 1, 2]","[[29, 15, 1], [19, 31, 10], [3, 12, 25]]",participant_oof_pooled_repeats
b16_lr1e-3,"[0, 1, 2]","[[25, 20, 0], [17, 33, 10], [3, 15, 22]]",participant_oof_pooled_repeats
b32_lr3e-4,"[0, 1, 2]","[[23, 20, 2], [17, 31, 12], [5, 11, 24]]",participant_oof_pooled_repeats
