predictive_rank,case_id,status,is_reference,changed_values,complete_for_requested_execution,incompleteness_reasons,expected_repeat_count,expected_fold_cell_count,passed_fold_cell_count,metric_source,participant_balanced_accuracy_mean_sd,participant_balanced_accuracy_repeat_ci95,participant_macro_f1_mean_sd,participant_macro_f1_repeat_ci95,participant_macro_roc_auc_ovr_mean_sd,participant_macro_roc_auc_ovr_repeat_ci95,participant_macro_pr_auc_ovr_mean_sd,participant_macro_pr_auc_ovr_repeat_ci95,participant_abstention_aware_balanced_accuracy_mean_sd,participant_abstention_aware_balanced_accuracy_repeat_ci95,participant_mean_abstention_aware_macro_precision,participant_mean_abstention_aware_macro_recall,participant_abstention_aware_macro_f1_mean_sd,participant_abstention_aware_macro_f1_repeat_ci95,primary_ranking_metric,primary_ranking_metric_source,frailty_classification_evaluation_scope,auxiliary_motion_evidence_valid_outer_oof,ranking_interpretation,participant_mean_coverage_rate,abstention_count,abstention_counts_by_class,balanced_accuracy_lcb95,macro_f1_lcb95,participant_cluster_balanced_accuracy_ci95_low,participant_cluster_balanced_accuracy_ci95_high,participant_cluster_balanced_accuracy_ci95,participant_cluster_macro_f1_ci95_low,participant_cluster_macro_f1_ci95_high,participant_cluster_macro_f1_ci95,participant_cluster_bootstrap_resamples,participant_cluster_bootstrap_seed,worst_fold_balanced_accuracy,worst_fold_abstention_aware_balanced_accuracy,worst_class_recall,worst_class_f1,abstention_aware_worst_class_recall,abstention_aware_worst_class_f1,expected_calibration_error,repeat_count,fold_cell_count,subject_oof_prediction_count,ci_method,conditional_ci_method,repeat_ci95_method,decision
1,b16_lr3e-4,passed,False,"{""aggregation.balance_line"": ""line_b_equal_role_families"", ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 64.0, ""signal.normalization.raw_imu"": ""none"", ""signal.normalization.raw_ppg"": ""per_window_median_iqr_over_1p349_sd_finite"", ""study.catalog_entry"": ""inception_full"", ""study.screen_profile_id"": ""v2_core_b0_b2_b7_selected"", ""training.batch_size"": 16, ""training.class_count_basis"": ""row"", ""training.class_weighting"": ""outer_train_window_inverse_frequency"", ""training.fixed_epochs"": 10, ""training.learning_rate"": 0.0003, ""training.optimizer"": ""adamw"", ""training.sampler"": ""exhaustive_shuffle_without_replacement"", ""windows.raw_dl.hop_s"": 2.5, ""windows.raw_dl.length_s"": 5.0}",True,[],5,25,25,config_metrics_v2,59.5 ± 6.2,"[51.9, 67.2]",59.4 ± 6.3,"[51.6, 67.3]",75.7 ± 3.1,"[71.9, 79.5]",66.7 ± 4.1,"[61.6, 71.9]",59.5 ± 6.2,"[51.9, 67.2]",0.6136291486291486,0.5953703703703704,59.4 ± 6.3,"[51.6, 67.3]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.4537037037037037,0.4439020190938718,0.4537037037037037,0.7296296296296296,"[45.4, 73.0]",0.4439020190938718,0.723315737127771,"[44.4, 72.3]",10000.0,42.0,0.3333333333333333,0.3333333333333333,0.5166666666666667,0.5254237288135594,0.5166666666666667,0.5254237288135593,0.1510165083068288,5,25,145,repeat_student_t_abstention_aware_primary,participant_cluster_bootstrap_config_metrics_v2,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
2,b16_lr1e-3,passed,False,"{""aggregation.balance_line"": ""line_b_equal_role_families"", ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 64.0, ""signal.normalization.raw_imu"": ""none"", ""signal.normalization.raw_ppg"": ""per_window_median_iqr_over_1p349_sd_finite"", ""study.catalog_entry"": ""inception_full"", ""study.screen_profile_id"": ""v2_core_b0_b2_b7_selected"", ""training.batch_size"": 16, ""training.class_count_basis"": ""row"", ""training.class_weighting"": ""outer_train_window_inverse_frequency"", ""training.fixed_epochs"": 10, ""training.learning_rate"": 0.001, ""training.optimizer"": ""adamw"", ""training.sampler"": ""exhaustive_shuffle_without_replacement"", ""windows.raw_dl.hop_s"": 2.5, ""windows.raw_dl.length_s"": 5.0}",True,[],5,25,25,config_metrics_v2,55.2 ± 5.1,"[48.8, 61.6]",55.4 ± 6.3,"[47.5, 63.2]",74.9 ± 3.6,"[70.4, 79.4]",66.8 ± 5.1,"[60.4, 73.1]",55.2 ± 5.1,"[48.8, 61.6]",0.5836274509803921,0.5518518518518518,55.4 ± 6.3,"[47.5, 63.2]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.4185185185185185,0.4112298682953422,0.4185185185185185,0.6787268518518516,"[41.9, 67.9]",0.4112298682953422,0.6746485371363666,"[41.1, 67.5]",10000.0,42.0,0.3333333333333333,0.3333333333333333,0.55,0.515625,0.55,0.5156249999999999,0.17121542991941996,5,25,145,repeat_student_t_abstention_aware_primary,participant_cluster_bootstrap_config_metrics_v2,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
3,b32_lr3e-4,passed,False,"{""aggregation.balance_line"": ""line_b_equal_role_families"", ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 64.0, ""signal.normalization.raw_imu"": ""none"", ""signal.normalization.raw_ppg"": ""per_window_median_iqr_over_1p349_sd_finite"", ""study.catalog_entry"": ""inception_full"", ""study.screen_profile_id"": ""v2_core_b0_b2_b7_selected"", ""training.batch_size"": 32, ""training.class_count_basis"": ""row"", ""training.class_weighting"": ""outer_train_window_inverse_frequency"", ""training.fixed_epochs"": 10, ""training.learning_rate"": 0.0003, ""training.optimizer"": ""adamw"", ""training.sampler"": ""exhaustive_shuffle_without_replacement"", ""windows.raw_dl.hop_s"": 2.5, ""windows.raw_dl.length_s"": 5.0}",True,[],5,25,25,config_metrics_v2,54.3 ± 3.0,"[50.5, 58.0]",53.4 ± 3.6,"[48.9, 57.9]",72.3 ± 2.7,"[68.9, 75.6]",63.0 ± 3.6,"[58.6, 67.5]",54.3 ± 3.0,"[50.5, 58.0]",0.5567611691141103,0.5425925925925925,53.4 ± 3.6,"[48.9, 57.9]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.41481481481481486,0.39922969862376473,0.41481481481481486,0.662037037037037,"[41.5, 66.2]",0.39922969862376473,0.6492067758896404,"[39.9, 64.9]",10000.0,42.0,0.3333333333333333,0.3333333333333333,0.5111111111111111,0.5081967213114754,0.5111111111111111,0.5081967213114755,0.20100495090744655,5,25,145,repeat_student_t_abstention_aware_primary,participant_cluster_bootstrap_config_metrics_v2,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
