case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support,aggregation_view,declared_source_line,evidence_role,quality_weighting,quality_weight_source,metric_source
b16_lr1e-3,0,0,Pre-Frail,0.4444444444444444,0.4444444444444444,0.75,0.5972222222222222,0.4444444444444444,0.7833333333333333,0.6307525807525807,9,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,0,1,Robust/Non-Frail,0.4166666666666667,0.4166666666666667,0.5882352941176471,0.5024509803921569,0.4166666666666667,0.661764705882353,0.6259996582365004,12,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,0,2,Young,0.625,0.625,0.8571428571428571,0.7410714285714286,0.625,0.8452380952380952,0.8084753787878788,8,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,1,0,Pre-Frail,0.5,0.6666666666666666,0.7,0.6833333333333333,0.5714285714285714,0.7944444444444445,0.6645857773308754,9,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,1,1,Robust/Non-Frail,0.4166666666666667,0.4166666666666667,0.5882352941176471,0.5024509803921569,0.4166666666666667,0.5980392156862746,0.5760302197802197,12,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,1,2,Young,0.6,0.375,0.9047619047619048,0.6398809523809523,0.46153846153846156,0.7678571428571429,0.6484486102133161,8,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,2,0,Pre-Frail,0.625,0.5555555555555556,0.85,0.7027777777777777,0.5882352941176471,0.8388888888888889,0.6936118892001246,9,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,2,1,Robust/Non-Frail,0.42857142857142855,0.5,0.5294117647058824,0.5147058823529411,0.46153846153846156,0.553921568627451,0.583778417690031,12,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,2,2,Young,0.5714285714285714,0.5,0.8571428571428571,0.6785714285714286,0.5333333333333333,0.7321428571428572,0.6347470238095239,8,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,3,0,Pre-Frail,0.6,0.3333333333333333,0.9,0.6166666666666667,0.42857142857142855,0.7944444444444444,0.6873931623931624,9,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,3,1,Robust/Non-Frail,0.5555555555555556,0.8333333333333334,0.5294117647058824,0.6813725490196079,0.6666666666666666,0.803921568627451,0.7873605360018404,12,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,3,2,Young,1.0,0.75,1.0,0.875,0.8571428571428571,0.8690476190476191,0.8514705882352941,8,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,4,0,Pre-Frail,0.5714285714285714,0.4444444444444444,0.85,0.6472222222222221,0.5,0.75,0.6255673883124864,9,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,4,1,Robust/Non-Frail,0.5,0.6666666666666666,0.5294117647058824,0.5980392156862745,0.5714285714285714,0.5980392156862746,0.5211994541406306,12,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,4,2,Young,0.8333333333333334,0.625,0.9523809523809523,0.7886904761904762,0.7142857142857143,0.8988095238095238,0.8381410256410255,8,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,0,0,Pre-Frail,0.4444444444444444,0.4444444444444444,0.75,0.5972222222222222,0.4444444444444444,0.7833333333333333,0.6307525807525807,9,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,0,1,Robust/Non-Frail,0.4166666666666667,0.4166666666666667,0.5882352941176471,0.5024509803921569,0.4166666666666667,0.6568627450980392,0.6241880640336018,12,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,0,2,Young,0.625,0.625,0.8571428571428571,0.7410714285714286,0.625,0.8452380952380952,0.8084753787878788,8,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,1,0,Pre-Frail,0.5,0.6666666666666666,0.7,0.6833333333333333,0.5714285714285714,0.7944444444444445,0.6645857773308754,9,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,1,1,Robust/Non-Frail,0.4166666666666667,0.4166666666666667,0.5882352941176471,0.5024509803921569,0.4166666666666667,0.5980392156862746,0.5760302197802197,12,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,1,2,Young,0.6,0.375,0.9047619047619048,0.6398809523809523,0.46153846153846156,0.7678571428571429,0.6484486102133161,8,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,2,0,Pre-Frail,0.625,0.5555555555555556,0.85,0.7027777777777777,0.5882352941176471,0.8388888888888889,0.6936118892001246,9,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,2,1,Robust/Non-Frail,0.42857142857142855,0.5,0.5294117647058824,0.5147058823529411,0.46153846153846156,0.553921568627451,0.583778417690031,12,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,2,2,Young,0.5714285714285714,0.5,0.8571428571428571,0.6785714285714286,0.5333333333333333,0.7321428571428572,0.6347470238095239,8,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,3,0,Pre-Frail,0.6,0.3333333333333333,0.9,0.6166666666666667,0.42857142857142855,0.7944444444444444,0.6873931623931624,9,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,3,1,Robust/Non-Frail,0.5555555555555556,0.8333333333333334,0.5294117647058824,0.6813725490196079,0.6666666666666666,0.803921568627451,0.7873605360018404,12,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,3,2,Young,1.0,0.75,1.0,0.875,0.8571428571428571,0.8690476190476191,0.8514705882352941,8,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,4,0,Pre-Frail,0.5714285714285714,0.4444444444444444,0.85,0.6472222222222221,0.5,0.75,0.6255673883124864,9,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,4,1,Robust/Non-Frail,0.5,0.6666666666666666,0.5294117647058824,0.5980392156862745,0.5714285714285714,0.5980392156862746,0.5211994541406306,12,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
b16_lr1e-3,4,2,Young,0.8333333333333334,0.625,0.9523809523809523,0.7886904761904762,0.7142857142857143,0.8988095238095238,0.8381410256410255,8,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,same_fitted_oof_report_reaggregation
