source_study,row_type,parameter,unique_count,values,role
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_num_pip,,0.2,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_processes,,1,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_pisd_verbose,,False,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,source_contract,input_data,,29 participants; 145 static B/R1-R4 files; source columns RED/IR/AX/AY/AZ/GX/GY/GZ; historical DL preprocessing and target sampling rate vary by source study,fixed
20260630_0630_overfitting_sweep_generalization_rank2,source_contract,optimizer,,AdamW (supporting generator-code evidence; absent from report JSON),provenance_limited
20260630_0630_overfitting_sweep_generalization_rank2,source_contract,confidence_scope,,historical_hypothesis_generation_only,interpretation
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,model,2.0,"[""inceptiontime"", ""small_inceptiontime""]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,resolved_model,2.0,"[""inception_time"", ""small_inception_time""]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,extra_input,1.0,[0],fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,cnn_epochs,3.0,"[10, 15, 50]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,cnn_patience,1.0,[0],fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,window_sec,1.0,[5.0],fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,hop_sec,2.0,"[2.5, 3.5]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,overlap_pct,2.0,"[30.000000000000004, 50.0]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,max_windows_fraction,1.0,[0.9],fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,cnn_lr,1.0,[0.001],fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,cnn_weight_decay,4.0,"[0.0001, 0.0005, 0.005, 0.01]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,cnn_dropout,4.0,"[-1.0, 0.0, 0.5, 0.7]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,cnn_label_smoothing,4.0,"[0.0, 0.1, 0.2, 0.3]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,sqi_mode,2.0,"[""none"", ""top50_quality""]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,aggregation,2.0,"[""mean_prob"", ""quality_weighted_mean""]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,manual_features,1.0,"[""none""]",fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,loss_type,1.0,"[""weighted_ce""]",fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,class_weight_mode,1.0,"[""inverse_subject_count""]",fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,window_sampler,3.0,"[""class_subject_balanced"", ""none"", ""subject_balanced""]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,windows_per_subject_per_epoch,4.0,"[""16"", ""32"", ""50%"", ""all""]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,train_overlap_pct,4.0,"[0.0, 30.0, 30.000000000000004, 50.0]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,dynamic_data_mode,1.0,"[""static_only""]",fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,train_role_mode,1.0,"[""static_only""]",fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,validation_role_mode,1.0,"[""static_only""]",fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,test_role_mode,1.0,"[""static_only""]",fixed
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,stage1_regularization_factor,4.0,"[""20260527"", ""20260608"", ""20260625"", ""generalization_grid""]",varied
20260630_0630_overfitting_sweep_generalization_rank2,observed_run_parameter_space,stage1_regularization_value,10.0,"[""g0056"", ""g0068"", ""s1_085"", ""s1_091"", ""s1_102"", ""s1_105"", ""s1_122"", ""s1_163"", ""wd0.005_do0.5_ls0.2"", ""wd0.01_do0.5_ls0.3""]",varied
