source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_066,inception_time,gen_066,gen_066,2,10042,0.5555555555555555,0.55007215007215,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_066,inception_time,gen_066,gen_066,3,20042,0.4537037037037037,0.3842592592592592,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_066,inception_time,gen_066,gen_066,4,30042,0.6898148148148149,0.68743961352657,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_066,inception_time,gen_066,gen_066,5,40042,0.5555555555555555,0.5511060259344012,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_074,inception_time,gen_074,gen_074,1,42,0.7129629629629629,0.7084795321637426,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_074,inception_time,gen_074,gen_074,2,10042,0.4675925925925925,0.4343434343434343,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_074,inception_time,gen_074,gen_074,3,20042,0.4768518518518518,0.4749038371329392,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_074,inception_time,gen_074,gen_074,4,30042,0.5787037037037037,0.5477582846003898,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_074,inception_time,gen_074,gen_074,5,40042,0.6435185185185185,0.6268671679197996,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_080,inception_time,gen_080,gen_080,1,42,0.6157407407407408,0.6207407407407407,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
