source_study,comparison_id,parameter_group,parameter,reference_value,candidate_value,repeat,split_seed,reference_config_count,candidate_config_count,reference_balanced_accuracy,candidate_balanced_accuracy,balanced_accuracy_delta,reference_macro_f1,candidate_macro_f1,macro_f1_delta,macro_roc_auc_ovr_delta,macro_roc_auc_ovr_applicability,comparison_role
20260630_0630_overfitting_sweep_generalization_rank2,regularization_bundle:WD=0.01; dropout=0.5; LS=0.3_vs_WD=0.005; dropout=0.5; LS=0.2,optimization_and_regularization,regularization_bundle,WD=0.005; dropout=0.5; LS=0.2,WD=0.01; dropout=0.5; LS=0.3,5,40042,112,112,0.5450975529100529,0.5432374338624338,-0.0018601190476190688,0.5390061540947026,0.5323856342379322,-0.006620519856770479,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,quality_route_bundle:SQI=top50_quality; aggregation=mean_prob_vs_SQI=none; aggregation=mean_prob,quality_feature_aggregation,quality_route_bundle,SQI=none; aggregation=mean_prob,SQI=top50_quality; aggregation=mean_prob,1,42,112,112,0.5310019841269842,0.5406332671957672,0.009631283068783025,0.5224150455934377,0.5319713622706793,0.00955631667724166,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,quality_route_bundle:SQI=top50_quality; aggregation=mean_prob_vs_SQI=none; aggregation=mean_prob,quality_feature_aggregation,quality_route_bundle,SQI=none; aggregation=mean_prob,SQI=top50_quality; aggregation=mean_prob,2,10042,112,112,0.4541997354497354,0.4559358465608465,0.001736111111111105,0.4406458023224503,0.4390270961838652,-0.0016187061385851131,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,quality_route_bundle:SQI=top50_quality; aggregation=mean_prob_vs_SQI=none; aggregation=mean_prob,quality_feature_aggregation,quality_route_bundle,SQI=none; aggregation=mean_prob,SQI=top50_quality; aggregation=mean_prob,3,20042,112,112,0.4609788359788359,0.4680059523809524,0.007027116402116507,0.44668046372442277,0.45476984291990113,0.008089379195478363,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,quality_route_bundle:SQI=top50_quality; aggregation=mean_prob_vs_SQI=none; aggregation=mean_prob,quality_feature_aggregation,quality_route_bundle,SQI=none; aggregation=mean_prob,SQI=top50_quality; aggregation=mean_prob,4,30042,112,112,0.5159556878306878,0.5283978174603174,0.01244212962962965,0.5071324994441189,0.5182264666099528,0.011093967165833885,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,quality_route_bundle:SQI=top50_quality; aggregation=mean_prob_vs_SQI=none; aggregation=mean_prob,quality_feature_aggregation,quality_route_bundle,SQI=none; aggregation=mean_prob,SQI=top50_quality; aggregation=mean_prob,5,40042,112,112,0.5273644179894179,0.5609705687830688,0.033606150793650924,0.5173501775024504,0.5540416108301844,0.03669143332773406,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,train_overlap_pct:30_vs_0,input_and_windowing,train_overlap_pct,0,30,1,42,112,112,0.5341021825396824,0.5375330687830687,0.0034308862433862775,0.5260240666980679,0.528362341166049,0.002338274467981072,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,train_overlap_pct:30_vs_0,input_and_windowing,train_overlap_pct,0,30,2,10042,112,112,0.4549437830687831,0.4551917989417989,0.0002480158730158166,0.44148872000410055,0.438184178502215,-0.0033045415018855273,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,train_overlap_pct:30_vs_0,input_and_windowing,train_overlap_pct,0,30,3,20042,112,112,0.46837797619047616,0.4606068121693121,-0.007771164021164068,0.45508345063947636,0.4463668560048476,-0.00871659463462876,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,train_overlap_pct:30_vs_0,input_and_windowing,train_overlap_pct,0,30,4,30042,112,112,0.5120287698412699,0.5323247354497355,0.020295965608465583,0.5017101927667833,0.5236487732872882,0.021938580520504902,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,train_overlap_pct:30_vs_0,input_and_windowing,train_overlap_pct,0,30,5,40042,112,112,0.5406746031746031,0.5476603835978836,0.006985780423280463,0.53160979512701,0.5397819932056248,0.0081721980786148,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=16,1,42,32,32,0.5571469907407407,0.5070891203703703,-0.05005787037037035,0.5522027623278964,0.4925365136924566,-0.059666248635439845,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=16,2,10042,32,32,0.48263888888888884,0.4330150462962963,-0.04962384259259256,0.4682576922498668,0.41207810040892384,-0.056179591840942955,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=16,3,20042,32,32,0.48828125,0.45587384259259256,-0.03240740740740744,0.4776298303557538,0.43538636639995065,-0.04224346395580314,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
