descriptive_rank,overfit_config_id,overfit_config_name,model,resolved_model,overfit_stage,stage1_screen_group,stage1_regularization_factor,stage1_regularization_value,cnn_epochs,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,max_windows_fraction,sqi_mode,aggregation,manual_features,loss_type,class_weight_mode,n_runs,seeds,window_balanced_accuracy_n_repeats,window_balanced_accuracy_mean,window_balanced_accuracy_sample_sd,window_balanced_accuracy_repeat_t_ci95_low,window_balanced_accuracy_repeat_t_ci95_high,window_balanced_accuracy_repeat_t_ci95_method,window_macro_f1_n_repeats,window_macro_f1_mean,window_macro_f1_sample_sd,window_macro_f1_repeat_t_ci95_low,window_macro_f1_repeat_t_ci95_high,window_macro_f1_repeat_t_ci95_method,file_balanced_accuracy_n_repeats,file_balanced_accuracy_mean,file_balanced_accuracy_sample_sd,file_balanced_accuracy_repeat_t_ci95_low,file_balanced_accuracy_repeat_t_ci95_high,file_balanced_accuracy_repeat_t_ci95_method,file_macro_f1_n_repeats,file_macro_f1_mean,file_macro_f1_sample_sd,file_macro_f1_repeat_t_ci95_low,file_macro_f1_repeat_t_ci95_high,file_macro_f1_repeat_t_ci95_method,subject_balanced_accuracy_n_repeats,subject_balanced_accuracy_mean,subject_balanced_accuracy_sample_sd,subject_balanced_accuracy_repeat_t_ci95_low,subject_balanced_accuracy_repeat_t_ci95_high,subject_balanced_accuracy_repeat_t_ci95_method,subject_macro_f1_n_repeats,subject_macro_f1_mean,subject_macro_f1_sample_sd,subject_macro_f1_repeat_t_ci95_low,subject_macro_f1_repeat_t_ci95_high,subject_macro_f1_repeat_t_ci95_method,duration_sec_n_repeats,duration_sec_mean,duration_sec_sample_sd,duration_sec_repeat_t_ci95_low,duration_sec_repeat_t_ci95_high,duration_sec_repeat_t_ci95_method,source_study,formal_v2_selection_eligible
71,gen_057,generalization_inceptiontime_ep15_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,generalization,generalization,generalization_grid,wd0.005_do0.5_ls0.2,15,0.001,0.005,0.5,0.2,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.49391680661358084,0.03931255995488477,0.4451038162403733,0.5427297969867884,two_sided_student_t_0.95,5,0.4838568236354865,0.04434293414150225,0.42879779873726254,0.5389158485337104,two_sided_student_t_0.95,5,0.5212962962962964,0.05735511357758735,0.45008051665411813,0.5925120759384747,two_sided_student_t_0.95,5,0.5052565186105389,0.06387440646436333,0.425945967697105,0.5845670695239727,two_sided_student_t_0.95,5,0.5277777777777778,0.10052801273429844,0.40295576355462964,0.6525997920009259,two_sided_student_t_0.95,5,0.507872225320334,0.11480789887459492,0.36531939057833085,0.6504250600623372,two_sided_student_t_0.95,5,405.94331075889056,0.9437268420015783,404.77151911503864,407.1151024027425,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
72,gen_135,generalization_small_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqitop50_quality_samplerclass_subject_balanced_wps50pct_trainov00,small_inceptiontime,small_inception_time,generalization,generalization,generalization_grid,wd0.005_do0.5_ls0.2,10,0.001,0.005,0.5,0.2,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.47914923696656403,0.051933608148208854,0.4146651454321113,0.5436333285010168,two_sided_student_t_0.95,5,0.4775614997565564,0.05082425941248814,0.4144548466087009,0.5406681529044118,two_sided_student_t_0.95,5,0.5201851851851852,0.05988672434760829,0.44582599559240704,0.5945443747779633,two_sided_student_t_0.95,5,0.5189839501554996,0.05974949551566206,0.4447951526628646,0.5931727476481345,two_sided_student_t_0.95,5,0.5268518518518518,0.07638187397644572,0.432011228819962,0.6216924748837416,two_sided_student_t_0.95,5,0.5229717750047987,0.08021813592426903,0.4233678036246177,0.6225757463849798,two_sided_student_t_0.95,5,37.479025163222104,0.1789087263794139,37.256880638712296,37.70116968773191,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
73,gen_119,generalization_small_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplersubject_balanced_wps32_trainov00,small_inceptiontime,small_inception_time,generalization,generalization,generalization_grid,wd0.005_do0.5_ls0.2,10,0.001,0.005,0.5,0.2,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.46829796857264094,0.029327067614796833,0.4318836045424601,0.5047123326028218,two_sided_student_t_0.95,5,0.4641317817253083,0.030280751012331773,0.42653326335472364,0.5017303000958929,two_sided_student_t_0.95,5,0.49018518518518517,0.042665999544681685,0.4372083496031756,0.5431620207671947,two_sided_student_t_0.95,5,0.48529330188723974,0.04387410611749988,0.4308164038677685,0.5397701999067109,two_sided_student_t_0.95,5,0.5268518518518518,0.06955238524704102,0.4404911591014022,0.6132125446023015,two_sided_student_t_0.95,5,0.5221233568251112,0.06869950898449743,0.43682164982478455,0.6074250638254379,two_sided_student_t_0.95,5,24.0146155890543,0.08546035001920065,23.908502549161568,24.120728628947035,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
74,gen_085,generalization_inceptiontime_ep15_wd0.01_do0.5_ls0.3_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,generalization,generalization,generalization_grid,wd0.01_do0.5_ls0.3,15,0.001,0.01,0.5,0.3,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5046871524110477,0.03584860336395817,0.4601752322281344,0.549199072593961,two_sided_student_t_0.95,5,0.4913774653242046,0.045418454238825054,0.4349830058417903,0.547771924806619,two_sided_student_t_0.95,5,0.5224074074074074,0.053693325944932924,0.455738337637764,0.5890764771770509,two_sided_student_t_0.95,5,0.5032805729935734,0.06288533395116547,0.4251981178113903,0.5813630281757566,two_sided_student_t_0.95,5,0.5268518518518517,0.09591269750058197,0.4077605083947707,0.6459431953089327,two_sided_student_t_0.95,5,0.504094155078406,0.10510298897852632,0.37359155756016266,0.6345967525966494,two_sided_student_t_0.95,5,405.4092376966495,0.15011727436320457,405.2228424815642,405.59563291173475,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
75,gen_021,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqitop50_quality_samplersubject_balanced_wps32_trainov00,inceptiontime,inception_time,generalization,generalization,generalization_grid,wd0.005_do0.5_ls0.2,10,0.001,0.005,0.5,0.2,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.45319098604089925,0.03739989093634925,0.406752887928487,0.4996290841533115,two_sided_student_t_0.95,5,0.4479017775876472,0.04552833972243912,0.3913708772563041,0.5044326779189903,two_sided_student_t_0.95,5,0.477037037037037,0.0495236222750044,0.41554533819752193,0.538528735876552,two_sided_student_t_0.95,5,0.46799152397671373,0.05619240013791687,0.398219443752802,0.5377636042006255,two_sided_student_t_0.95,5,0.5259259259259259,0.05656869405224416,0.4556866150958508,0.596165236756001,two_sided_student_t_0.95,5,0.5130885490689412,0.06456610784007924,0.43291913745977284,0.5932579606781095,two_sided_student_t_0.95,5,72.90059085302055,0.0787731859863158,72.80278102395752,72.99840068208357,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
76,gen_064,generalization_inceptiontime_ep15_wd0.005_do0.5_ls0.2_sqinone_samplersubject_balanced_wps32_trainov30,inceptiontime,inception_time,generalization,generalization,generalization_grid,wd0.005_do0.5_ls0.2,15,0.001,0.005,0.5,0.2,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.4750178906230579,0.04697850514164871,0.41668637209924214,0.5333494091468737,two_sided_student_t_0.95,5,0.4706108241073438,0.049082722654065186,0.4096665744539706,0.531555073760717,two_sided_student_t_0.95,5,0.5064814814814815,0.050388579225095556,0.4439157967370422,0.5690471662259209,two_sided_student_t_0.95,5,0.5015722953981581,0.05330005652856202,0.435391534104417,0.5677530566918991,two_sided_student_t_0.95,5,0.525,0.07324477911795767,0.43405459471284497,0.6159454052871551,two_sided_student_t_0.95,5,0.514069553634771,0.08570684374005975,0.407650451363063,0.6204886559064791,two_sided_student_t_0.95,5,104.28867103406228,0.15323755185873322,104.09840148274641,104.47894058537814,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
77,gen_043,generalization_inceptiontime_ep10_wd0.01_do0.5_ls0.3_sqitop50_quality_samplernone_wpsall_trainov00,inceptiontime,inception_time,generalization,generalization,generalization_grid,wd0.01_do0.5_ls0.3,10,0.001,0.01,0.5,0.3,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.4889927616114006,0.045424304072148716,0.4325910386015528,0.5453944846212484,two_sided_student_t_0.95,5,0.47802498538153604,0.04627559729142865,0.42056624222939337,0.5354837285336788,two_sided_student_t_0.95,5,0.5164814814814815,0.06955669939500454,0.4301154320088227,0.6028475309541403,two_sided_student_t_0.95,5,0.49938367455770016,0.06941501722622054,0.41319354673320785,0.5855738023821925,two_sided_student_t_0.95,5,0.525,0.08362859215969018,0.421161387894847,0.6288386121051531,two_sided_student_t_0.95,5,0.502083248947699,0.07994152277272239,0.40282273815922304,0.6013437597361748,two_sided_student_t_0.95,5,161.33651367044075,0.1351201383362038,161.16873985923638,161.50428748164512,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
78,gen_126,generalization_small_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplerclass_subject_balanced_wps32_trainov30,small_inceptiontime,small_inception_time,generalization,generalization,generalization_grid,wd0.005_do0.5_ls0.2,10,0.001,0.005,0.5,0.2,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.46457929787591523,0.033362937065455844,0.4231537400474007,0.5060048557044298,two_sided_student_t_0.95,5,0.4603616584055509,0.038209035798443314,0.4129188742485449,0.5078044425625569,two_sided_student_t_0.95,5,0.4779629629629629,0.037356263167040916,0.4315790358810228,0.5243468900449031,two_sided_student_t_0.95,5,0.4718686796062248,0.04510384903721431,0.4158648540762982,0.5278725051361515,two_sided_student_t_0.95,5,0.524074074074074,0.04936583430580118,0.4627782948752683,0.5853698532728797,two_sided_student_t_0.95,5,0.5210774015174339,0.05061508474138132,0.4582304730280279,0.5839243300068399,two_sided_student_t_0.95,5,26.26089364117943,0.15812171679036063,26.064559598106666,26.457227684252192,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
79,gen_163,generalization_small_inceptiontime_ep10_wd0.01_do0.5_ls0.3_sqitop50_quality_samplerclass_subject_balanced_wps50pct_trainov00,small_inceptiontime,small_inception_time,generalization,generalization,generalization_grid,wd0.01_do0.5_ls0.3,10,0.001,0.01,0.5,0.3,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.4783244520460568,0.044338783428490756,0.42327058093874603,0.5333783231533675,two_sided_student_t_0.95,5,0.4736576682745067,0.04004773196489068,0.4239318412839878,0.5233834952650257,two_sided_student_t_0.95,5,0.5142592592592592,0.05120964736784563,0.450674083761895,0.5778444347566234,two_sided_student_t_0.95,5,0.5086415077282399,0.046470750305090375,0.4509404501048925,0.5663425653515873,two_sided_student_t_0.95,5,0.524074074074074,0.055012780657455365,0.45576668489063116,0.5923814632575168,two_sided_student_t_0.95,5,0.517525929159258,0.05620393719349612,0.44773952378878823,0.5873123345297278,two_sided_student_t_0.95,5,37.662553243758154,0.22071026859601106,37.388505249208606,37.9366012383077,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
80,gen_137,generalization_small_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqitop50_quality_samplerclass_subject_balanced_wps16_trainov00,small_inceptiontime,small_inception_time,generalization,generalization,generalization_grid,wd0.005_do0.5_ls0.2,10,0.001,0.005,0.5,0.2,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.47390111962869863,0.04794192138025784,0.41437336184611706,0.5334288774112802,two_sided_student_t_0.95,5,0.4673214042886917,0.04827474812208007,0.40738038752315,0.5272624210542334,two_sided_student_t_0.95,5,0.508888888888889,0.07206059787986666,0.4194138388124199,0.598363938965358,two_sided_student_t_0.95,5,0.5011997995079553,0.07414676852762975,0.4091344264440494,0.5932651725718613,two_sided_student_t_0.95,5,0.5231481481481481,0.09048527910042621,0.4107958347217292,0.6355004615745671,two_sided_student_t_0.95,5,0.5181456321223898,0.09144616223207803,0.4046002247049176,0.6316910395398622,two_sided_student_t_0.95,5,21.051047949725763,0.06627823968742229,20.968752645641572,21.133343253809954,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
