algorithm_or_reducer,activity_group,channel,participant_count,segment_count,participant_macro_f1_mean_sd,participant_macro_sensitivity_mean_sd,participant_macro_positive_predictive_value_mean_sd,participant_macro_ibi_ppi_rmse_ms_mean_sd,total_runtime_s
aboy_project_v1,static,IR,22,198,96.8 ± 7.9,96.6 ± 10.9,98.0 ± 5.4,24.8 ± 20.5,1.9318563170963898
aboy_project_v1,static,RED,22,198,95.6 ± 7.8,96.4 ± 10.2,96.0 ± 7.7,35.1 ± 37.6,1.9547193309408613
msptdfast_v2_3_python_port,static,IR,22,198,97.8 ± 0.5,98.6 ± 0.5,97.1 ± 0.5,16.8 ± 14.6,0.39543810294708237
msptdfast_v2_3_python_port,static,RED,22,198,96.6 ± 3.2,97.3 ± 3.8,96.0 ± 2.7,25.5 ± 27.1,0.393930005870061
